label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
tv,-17.850,0.514,1.354,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.757,0.049,0.523,2
picture,-22.306,3.800,2.032,0.000,1.000,-0.000,-1.000,0.000,0.000,0.468,0.022,0.500,1
decor,-21.960,4.409,0.699,1.000,0.000,0.000,0.000,1.000,0.000,0.366,0.293,0.677,0
decor,-18.924,-1.275,0.406,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.329,0.310,0.427,0
sofa,-19.613,-1.265,0.547,0.000,1.000,-0.000,-1.000,0.000,0.000,0.457,0.408,0.544,2
table,-20.553,4.188,0.297,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.332,0.274,0.307,0
table,-19.233,0.491,0.231,0.000,1.000,0.000,-1.000,0.000,0.000,0.639,0.420,0.225,0
picture,-22.300,3.801,0.955,0.000,1.000,-0.000,-1.000,0.000,0.000,0.470,0.031,0.500,1
picture,-22.302,-1.016,1.408,0.000,1.000,-0.000,-1.000,0.000,0.000,0.710,0.035,0.812,1
chair,-21.497,3.892,0.632,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.468,0.372,0.373,2
sofa,-19.676,4.033,0.497,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.458,0.351,0.495,2
decor,-20.535,-0.994,0.994,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.233,0.220,0.507,0
sofa,-20.722,0.488,0.479,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.597,1.112,0.490,2
