label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,4.261,7.817,-0.022,-1.000,0.000,0.000,0.000,-1.000,0.000,0.318,0.347,0.430,2
chair,1.906,10.096,0.396,0.924,0.383,0.000,-0.383,0.924,0.000,0.486,0.329,0.210,2
table,3.385,7.532,0.228,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.840,0.766,0.126,0
chair,1.082,9.818,0.190,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.329,0.291,0.416,2
decor,0.265,11.060,1.185,0.383,0.924,0.000,-0.924,0.383,0.000,0.100,0.046,0.055,0
chair,2.564,7.479,-0.059,0.924,0.383,-0.000,-0.383,0.924,0.000,0.349,0.397,0.414,2
chair,3.154,6.522,-0.043,0.000,1.000,0.000,-1.000,0.000,0.000,0.296,0.350,0.415,2
tv,-1.427,9.998,1.322,0.924,0.383,-0.000,-0.383,0.924,0.000,0.169,0.902,0.675,2
chair,3.489,10.500,0.309,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.355,0.330,0.294,2
chair,3.716,8.376,-0.038,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.300,0.369,0.420,2
chair,2.820,8.225,-0.046,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.402,0.526,0.416,2
other,1.547,12.289,0.316,-0.383,0.924,0.000,-0.924,-0.383,0.000,2.569,2.121,0.796,-1
chair,4.568,6.972,-0.006,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.295,0.327,0.425,2
chair,2.690,10.238,0.192,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.335,0.333,0.405,2
