label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,14.686,9.459,2.542,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.947,0.129,0.789,1
chair,12.632,9.314,0.666,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.450,0.306,0.626,2
chair,16.016,3.496,0.568,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.290,0.433,0.553,2
picture,7.613,5.295,2.271,0.000,1.000,0.000,-1.000,0.000,0.000,0.604,0.083,0.505,1
table,14.776,-0.921,0.434,1.000,0.000,0.000,0.000,1.000,0.000,0.805,0.627,0.419,0
chair,7.846,5.625,0.640,1.000,0.000,0.000,0.000,1.000,0.000,0.296,0.276,0.596,2
chair,7.864,4.407,0.638,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.312,0.512,0.594,2
chair,11.274,9.207,0.668,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.334,0.323,0.650,2
picture,16.246,2.099,2.404,0.000,1.000,-0.000,-1.000,0.000,0.000,0.518,0.103,0.691,1
decor,7.850,0.270,1.664,1.000,0.000,0.000,0.000,1.000,0.000,0.270,0.204,0.470,0
chair,16.234,6.215,0.808,-1.000,0.000,0.000,0.000,-1.000,0.000,0.088,0.198,0.314,2
chair,12.493,3.877,0.657,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.315,0.309,0.631,2
chair,7.856,5.344,0.653,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.306,0.533,0.610,2
chair,16.014,4.043,0.581,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.310,0.293,0.540,2
chair,7.905,-1.431,0.615,0.707,0.707,-0.000,-0.707,0.707,0.000,0.395,0.357,0.568,2
chair,11.565,3.913,0.663,1.000,0.000,0.000,0.000,1.000,0.000,0.313,0.309,0.620,2
chair,14.703,-2.034,0.679,0.000,1.000,0.000,-1.000,0.000,0.000,0.227,0.321,0.637,2
decor,15.961,5.148,1.420,0.000,1.000,-0.000,-1.000,0.000,0.000,0.203,0.150,0.311,0
picture,16.243,5.541,2.452,0.000,1.000,-0.000,-1.000,0.000,0.000,0.543,0.094,0.666,1
chair,11.885,3.154,0.665,0.924,0.383,0.000,-0.383,0.924,0.000,0.622,0.408,0.620,2
chair,11.728,4.751,0.657,1.000,0.000,0.000,0.000,1.000,0.000,0.467,0.336,0.616,2
chair,11.997,5.964,0.701,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.368,0.337,0.680,2
picture,7.621,-0.737,2.286,0.000,1.000,0.000,-1.000,0.000,0.000,0.649,0.093,0.520,1
chair,12.081,2.036,0.697,0.000,1.000,0.000,-1.000,0.000,0.000,0.366,0.373,0.679,2
bed,16.986,5.708,2.106,1.000,0.000,0.000,0.000,1.000,0.000,18.788,11.789,1.957,2
chair,10.533,-1.496,0.667,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.323,0.281,0.623,2
picture,9.143,9.479,2.536,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.928,0.130,0.796,1
chair,16.042,-1.565,0.617,0.000,1.000,-0.000,-1.000,0.000,0.000,0.316,0.293,0.573,2
chair,12.358,4.767,0.663,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.354,0.318,0.622,2
chair,12.511,3.066,0.657,-1.000,0.000,0.000,0.000,-1.000,0.000,0.290,0.369,0.631,2
decor,16.068,2.313,1.392,0.000,1.000,-0.000,-1.000,0.000,0.000,0.229,0.227,0.299,0
chair,7.850,4.654,0.652,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.312,0.373,0.611,2
table,9.167,9.136,0.462,1.000,0.000,0.000,0.000,1.000,0.000,0.826,0.455,0.445,0
picture,7.634,1.158,2.288,0.000,1.000,0.000,-1.000,0.000,0.000,0.662,0.103,0.522,1
table,14.679,9.099,0.452,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.888,0.456,0.434,0
picture,16.232,3.848,2.629,0.000,1.000,-0.000,-1.000,0.000,0.000,0.598,0.100,0.811,1
