label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-60.603,18.686,0.451,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.094,1.022,0.419,0
chair,-65.445,19.989,0.253,-0.383,-0.924,0.000,0.924,-0.383,-0.000,0.220,0.268,0.221,2
chair,-69.277,29.559,0.384,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.265,0.180,0.306,2
chair,-65.379,20.455,0.444,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.186,0.063,0.413,2
chair,-76.104,25.124,0.327,0.707,-0.707,0.000,0.707,0.707,0.000,0.222,0.118,0.216,2
chair,-65.666,16.776,0.450,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.269,0.260,0.419,2
chair,-72.827,26.993,0.353,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.252,0.232,0.235,2
chair,-57.888,21.010,0.691,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.288,0.127,0.241,2
chair,-61.781,13.719,0.470,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.270,0.207,0.219,2
table,-63.572,18.922,0.471,0.924,0.383,0.000,-0.383,0.924,0.000,1.145,1.079,0.466,0
chair,-79.388,27.807,0.720,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.117,0.242,0.210,2
chair,-74.996,30.693,0.301,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.270,0.044,0.210,2
chair,-67.051,16.175,0.301,0.383,0.924,0.000,-0.924,0.383,0.000,0.274,0.236,0.210,2
chair,-66.659,21.539,0.443,-1.000,0.000,0.000,0.000,-1.000,0.000,0.282,0.176,0.412,2
chair,-76.078,28.683,0.421,0.924,-0.383,-0.000,0.383,0.924,0.000,0.212,0.223,0.068,2
chair,-69.394,30.621,0.468,0.707,0.707,0.000,-0.707,0.707,0.000,0.189,0.187,0.031,2
chair,-74.386,31.367,0.433,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.239,0.227,0.102,2
chair,-57.776,16.660,0.342,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.244,0.195,0.203,2
