label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
tv,-8.363,-28.022,0.952,-1.000,0.000,0.000,0.000,-1.000,0.000,0.135,0.462,0.203,2
chair,-11.150,-27.993,0.654,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.487,0.402,0.650,2
table,-8.612,-27.228,0.646,-1.000,0.000,0.000,0.000,-1.000,0.000,0.667,1.544,0.654,0
chair,-11.138,-26.351,0.660,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.491,0.402,0.649,2
tv,-8.274,-26.288,0.979,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.124,0.508,0.214,2
picture,-5.571,-30.141,1.072,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.178,0.054,0.371,1
other,-8.542,-27.588,2.870,0.707,0.707,-0.000,-0.707,0.707,0.000,0.220,0.208,0.665,-1
picture,-5.874,-25.392,1.521,0.000,1.000,-0.000,-1.000,0.000,0.000,0.400,0.017,0.438,1
other,-8.267,-26.810,2.985,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.217,0.214,0.565,-1
storage,-10.464,-27.205,0.629,0.000,1.000,0.000,-1.000,0.000,0.000,1.553,0.366,0.644,1
table,-11.000,-27.069,0.332,0.000,1.000,0.000,-1.000,0.000,0.000,0.650,0.263,0.332,0
other,-6.851,-29.372,3.544,0.924,0.383,-0.000,-0.383,0.924,0.000,0.171,0.167,0.196,-1
