label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-0.419,-3.687,-2.825,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.009,0.123,0.492,1
sofa,1.711,-11.202,-2.913,-1.000,0.000,0.000,0.000,-1.000,0.000,0.254,0.447,0.123,2
chair,-2.330,-3.933,-0.068,0.000,1.000,0.000,-1.000,0.000,0.000,13.644,4.500,3.090,2
sofa,0.141,-11.569,0.356,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.372,1.589,0.339,2
table,0.068,-7.057,-2.913,0.000,1.000,0.000,-1.000,0.000,0.000,0.336,0.304,0.025,0
table,0.120,-10.771,-2.907,0.000,1.000,0.000,-1.000,0.000,0.000,0.455,0.334,0.057,0
sofa,-0.365,-11.251,-2.854,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.320,1.649,0.497,2
sofa,1.696,-6.844,-2.861,-1.000,0.000,0.000,0.000,-1.000,0.000,0.246,0.437,0.092,2
sofa,-0.396,-6.642,-2.831,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.261,1.638,0.485,2
other,1.754,-8.951,-2.595,0.000,1.000,0.000,-1.000,0.000,0.000,0.967,0.458,0.725,-1
picture,1.597,-8.956,-1.327,0.000,1.000,0.000,-1.000,0.000,0.000,0.699,0.058,0.437,1
picture,1.912,-6.801,-1.614,0.000,1.000,-0.000,-1.000,0.000,0.000,0.493,0.058,0.495,1
chair,1.525,-13.700,-2.865,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.495,0.393,0.468,2
picture,1.934,-11.108,-1.646,0.000,1.000,-0.000,-1.000,0.000,0.000,0.490,0.066,0.504,1
