label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-3.033,-5.998,-2.845,0.924,0.383,-0.000,-0.383,0.924,0.000,0.403,0.370,0.752,0
sofa,-1.927,-1.111,0.428,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.465,0.384,0.405,2
tv,0.323,-5.928,-2.548,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.077,0.184,0.128,2
chair,1.928,-3.585,0.295,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.170,0.436,0.160,2
sofa,-1.749,-2.842,-3.192,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.542,1.509,0.412,2
picture,-0.918,-6.311,-2.148,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.185,0.054,0.222,1
sofa,-0.472,-4.387,-3.024,0.000,1.000,0.000,-1.000,0.000,0.000,0.415,0.420,0.583,2
table,-0.473,-5.880,-3.142,1.000,0.000,0.000,0.000,1.000,0.000,1.427,0.525,0.475,0
chair,-3.313,-5.099,0.136,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.223,0.672,0.229,2
chair,0.495,-1.291,-3.115,-0.000,-1.000,-0.000,1.000,-0.000,0.000,0.478,0.429,0.466,2
tv,-1.479,-5.873,-2.529,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.169,0.071,0.132,2
picture,-1.594,-6.303,-2.157,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.196,0.059,0.230,1
table,1.248,-3.310,-3.369,0.000,1.000,0.000,-1.000,0.000,0.000,0.400,0.320,0.210,0
sofa,-0.053,-2.154,0.476,0.000,1.000,-0.000,-1.000,0.000,0.000,0.540,1.394,0.485,2
sofa,-1.951,0.493,0.478,1.000,0.000,0.000,0.000,1.000,0.000,0.458,0.379,0.404,2
sofa,-0.587,-1.403,-3.129,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.619,0.630,0.461,2
picture,0.527,-6.333,-2.133,1.000,0.000,0.000,0.000,1.000,0.000,0.222,0.053,0.223,1
chair,0.434,-4.467,-3.037,0.000,1.000,-0.000,-1.000,0.000,0.000,0.430,0.435,0.578,2
table,1.263,-2.446,-3.384,0.000,1.000,0.000,-1.000,0.000,0.000,0.363,0.343,0.196,0
picture,-0.154,-6.313,-2.137,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.205,0.049,0.203,1
