label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,17.642,-3.607,0.278,0.383,0.924,-0.000,-0.924,0.383,0.000,0.261,0.221,0.288,0
chair,16.279,-3.403,0.450,0.000,1.000,-0.000,-1.000,0.000,0.000,0.404,0.312,0.458,2
other,13.680,1.709,2.844,1.000,0.000,0.000,0.000,1.000,0.000,0.715,0.439,0.235,-1
bed,18.492,-1.111,3.293,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.160,1.103,0.324,2
table,16.994,0.292,3.317,1.000,0.000,0.000,0.000,1.000,0.000,0.220,0.163,0.343,0
table,14.132,-1.185,3.676,0.000,1.000,-0.000,-1.000,0.000,0.000,0.331,0.191,0.720,0
bed,18.387,1.329,3.281,0.000,1.000,0.000,-1.000,0.000,0.000,1.091,1.104,0.332,2
chair,16.779,-3.298,3.443,0.000,1.000,-0.000,-1.000,0.000,0.000,0.366,0.344,0.441,2
storage,14.000,-3.307,1.533,0.000,1.000,0.000,-1.000,0.000,0.000,0.273,0.830,0.784,1
chair,17.556,3.608,0.481,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.355,0.336,0.449,2
sofa,13.107,-3.114,0.682,0.000,1.000,-0.000,-1.000,0.000,0.000,0.428,0.358,0.584,2
storage,12.412,2.092,1.055,1.000,0.000,0.000,0.000,1.000,0.000,0.736,0.307,1.034,1
chair,15.898,3.247,3.382,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.288,0.256,0.443,2
storage,17.693,-3.240,3.589,1.000,0.000,0.000,0.000,1.000,0.000,0.630,0.404,0.594,1
table,19.925,-0.150,3.270,1.000,0.000,0.000,0.000,1.000,0.000,0.311,0.227,0.301,0
storage,15.006,3.485,3.302,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.301,0.278,0.357,1
table,17.046,-0.216,3.257,0.000,1.000,-0.000,-1.000,0.000,0.000,0.289,0.280,0.291,0
storage,18.301,2.644,0.919,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.415,0.107,0.875,1
sofa,12.383,-3.075,3.344,0.000,1.000,0.000,-1.000,0.000,0.000,0.574,1.270,0.383,2
storage,14.698,2.140,3.473,0.000,1.000,0.000,-1.000,0.000,0.000,0.554,0.117,0.364,1
