label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-1.047,1.609,0.301,0.707,0.707,-0.000,-0.707,0.707,0.000,0.273,0.278,0.246,2
chair,0.124,5.269,0.433,-1.000,0.000,0.000,0.000,-1.000,0.000,0.322,0.339,0.405,2
chair,0.537,-0.534,0.299,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.307,0.294,0.286,2
storage,1.786,5.461,0.677,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.194,0.713,0.624,1
chair,0.002,-0.840,0.348,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.200,0.346,2
storage,-0.259,9.856,0.409,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.639,0.467,0.407,1
storage,1.319,7.357,1.140,-1.000,0.000,0.000,0.000,-1.000,0.000,0.366,1.209,1.092,1
decor,0.289,9.935,1.096,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.200,0.195,0.334,0
chair,-0.891,6.936,0.451,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.356,0.441,0.397,2
chair,0.062,3.854,0.365,-1.000,0.000,0.000,0.000,-1.000,0.000,0.260,0.350,0.337,2
decor,0.180,9.882,1.097,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.174,0.057,0.317,0
chair,0.015,7.655,0.431,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.408,0.368,0.396,2
chair,-1.160,2.320,0.416,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.281,0.293,0.339,2
chair,0.117,6.862,0.459,-1.000,0.000,0.000,0.000,-1.000,0.000,0.314,0.377,0.394,2
decor,1.276,3.027,1.322,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.188,0.110,0.161,0
chair,0.015,2.329,0.471,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.322,0.302,0.391,2
chair,-1.002,4.929,0.449,0.707,0.707,-0.000,-0.707,0.707,0.000,0.350,0.413,0.396,2
picture,1.784,5.876,1.350,0.000,1.000,0.000,-1.000,0.000,0.000,0.272,0.146,0.182,1
chair,0.042,3.077,0.474,-1.000,0.000,0.000,0.000,-1.000,0.000,0.301,0.350,0.383,2
chair,-0.893,5.549,0.430,0.383,0.924,-0.000,-0.924,0.383,0.000,0.325,0.417,0.378,2
table,-0.655,-0.611,0.441,1.000,0.000,0.000,0.000,1.000,0.000,0.432,0.421,0.440,0
chair,0.238,5.875,0.477,-1.000,0.000,0.000,0.000,-1.000,0.000,0.308,0.403,0.365,2
other,0.328,9.850,0.403,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.442,0.233,0.391,-1
chair,-0.690,7.729,0.326,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.303,0.311,0.220,2
chair,-1.146,4.075,0.370,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.321,0.389,0.332,2
picture,1.924,5.218,1.384,0.383,0.924,0.000,-0.924,0.383,0.000,0.352,0.138,0.190,1
chair,-0.237,1.542,0.310,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.308,0.307,0.185,2
chair,-1.782,-0.456,0.212,0.707,0.707,-0.000,-0.707,0.707,0.000,0.378,0.298,0.240,2
storage,1.262,1.755,1.113,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.474,3.046,1.119,1
decor,1.711,5.087,1.458,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.124,0.105,0.263,0
chair,-0.978,6.174,0.415,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.322,0.467,0.382,2
decor,-0.208,10.008,-0.667,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.139,0.118,0.213,0
decor,1.063,-0.254,1.390,1.000,0.000,0.000,0.000,1.000,0.000,0.114,0.105,0.247,0
chair,-1.168,3.388,0.393,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.274,0.402,0.336,2
decor,1.484,7.700,1.325,0.383,0.924,-0.000,-0.924,0.383,0.000,0.146,0.104,0.259,0
chair,0.098,4.515,0.444,-1.000,0.000,0.000,0.000,-1.000,0.000,0.288,0.337,0.390,2
picture,1.246,2.592,1.249,0.000,1.000,0.000,-1.000,0.000,0.000,0.212,0.112,0.183,1
picture,1.405,0.220,1.386,0.000,1.000,0.000,-1.000,0.000,0.000,0.433,0.144,0.234,1
decor,0.729,0.666,0.954,0.383,0.924,-0.000,-0.924,0.383,0.000,0.251,0.218,0.945,0
storage,-0.771,-1.113,1.112,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,1.718,1.120,1
