label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,13.195,5.372,0.627,0.924,0.383,-0.000,-0.383,0.924,0.000,0.278,0.333,0.253,2
chair,13.756,5.906,0.631,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.199,0.359,0.253,2
chair,15.943,5.819,0.469,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.179,0.274,0.371,2
chair,15.201,5.850,0.472,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.166,0.298,0.370,2
chair,14.541,5.176,0.461,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.376,0.348,0.377,2
chair,13.805,5.041,0.450,0.707,0.707,-0.000,-0.707,0.707,0.000,0.240,0.366,0.390,2
chair,15.225,5.118,0.481,0.707,0.707,-0.000,-0.707,0.707,0.000,0.272,0.367,0.365,2
other,15.544,5.411,1.731,1.000,0.000,0.000,0.000,1.000,0.000,0.523,0.048,0.052,-1
chair,14.555,5.843,0.452,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.131,0.376,0.391,2
chair,16.488,5.424,0.631,-1.000,0.000,0.000,0.000,-1.000,0.000,0.279,0.359,0.253,2
table,14.839,5.449,0.426,1.000,0.000,0.000,0.000,1.000,0.000,1.669,0.547,0.404,0
other,14.123,5.393,1.818,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.527,0.054,0.123,-1
chair,15.914,4.979,0.621,0.000,1.000,0.000,-1.000,0.000,0.000,0.198,0.367,0.264,2
