label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.306,-5.340,0.672,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.314,0.260,0.213,-1
other,-4.372,-3.677,0.662,0.000,1.000,-0.000,-1.000,0.000,0.000,0.030,0.025,0.049,-1
other,-3.905,-3.539,0.645,0.000,1.000,0.000,-1.000,0.000,0.000,0.911,0.377,0.029,-1
other,-3.316,-2.569,0.663,0.707,0.707,-0.000,-0.707,0.707,0.000,0.025,0.022,0.048,-1
other,-5.171,-1.782,0.644,0.707,0.707,0.000,-0.707,0.707,0.000,0.319,0.260,0.181,-1
other,-3.720,-4.421,0.682,0.924,0.383,0.000,-0.383,0.924,0.000,0.237,0.221,0.128,-1
table,-3.701,-3.562,0.304,0.000,1.000,0.000,-1.000,0.000,0.000,1.111,0.794,0.350,0
other,-3.293,-3.580,0.642,0.000,1.000,0.000,-1.000,0.000,0.000,0.857,0.341,0.032,-1
other,-5.227,-5.332,0.641,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.313,0.262,0.185,-1
other,-2.062,-1.856,0.746,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.320,0.279,0.291,-1
sofa,-3.642,-3.572,0.280,0.000,1.000,0.000,-1.000,0.000,0.000,2.284,2.101,0.313,2
other,-3.298,-4.554,0.672,0.924,0.383,-0.000,-0.383,0.924,0.000,0.022,0.021,0.039,-1
