label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-3.684,4.457,3.939,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.435,0.234,0.268,1
picture,0.161,2.696,3.949,0.383,0.924,0.000,-0.924,0.383,0.000,0.170,0.106,0.163,1
picture,-3.591,-0.227,4.652,0.000,1.000,-0.000,-1.000,0.000,0.000,0.296,0.019,0.352,1
decor,0.184,0.533,4.502,0.707,0.707,0.000,-0.707,0.707,0.000,0.225,0.147,0.163,0
decor,-2.724,-0.624,4.139,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.225,0.152,0.157,0
decor,-0.323,-0.600,3.917,0.000,1.000,-0.000,-1.000,0.000,0.000,0.238,0.235,0.369,0
decor,0.325,2.853,4.424,1.000,0.000,0.000,0.000,1.000,0.000,0.251,0.232,0.261,0
picture,-3.040,4.682,3.937,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.132,0.037,0.116,1
picture,-1.319,-1.023,4.498,1.000,0.000,0.000,0.000,1.000,0.000,0.212,0.017,0.253,1
picture,0.510,0.749,3.952,0.000,1.000,0.000,-1.000,0.000,0.000,0.232,0.059,0.156,1
picture,-3.426,4.714,4.587,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.175,0.010,0.219,1
picture,-2.946,4.707,4.580,1.000,0.000,0.000,0.000,1.000,0.000,0.157,0.010,0.199,1
picture,0.075,2.913,3.892,0.000,1.000,0.000,-1.000,0.000,0.000,0.102,0.061,0.100,1
picture,-1.867,-1.025,4.484,1.000,0.000,0.000,0.000,1.000,0.000,0.240,0.013,0.280,1
