label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-9.170,11.185,1.481,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.083,0.022,0.119,-1
chair,-6.246,9.260,-0.035,0.000,1.000,-0.000,-1.000,0.000,0.000,0.289,0.247,0.402,2
decor,-5.398,8.977,2.832,1.000,0.000,0.000,0.000,1.000,0.000,0.238,0.213,0.245,0
other,-2.442,9.356,2.448,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.539,0.093,0.226,-1
decor,-6.936,8.985,2.796,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.237,0.221,0.243,0
other,-9.111,9.002,1.446,1.000,0.000,0.000,0.000,1.000,0.000,0.095,0.022,0.107,-1
other,-6.217,8.995,1.434,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.095,0.018,0.119,-1
chair,-9.137,9.265,0.016,0.000,1.000,-0.000,-1.000,0.000,0.000,0.288,0.253,0.375,2
table,-9.881,11.327,2.841,1.000,0.000,0.000,0.000,1.000,0.000,0.394,0.229,0.292,0
other,-6.206,11.181,1.458,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.083,0.019,0.119,-1
decor,-9.812,8.955,2.942,1.000,0.000,0.000,0.000,1.000,0.000,0.278,0.254,0.378,0
