label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,12.710,10.146,4.655,0.000,1.000,-0.000,-1.000,0.000,0.000,0.156,0.118,0.201,0
decor,11.809,7.211,4.682,0.924,0.383,0.000,-0.383,0.924,0.000,0.162,0.054,0.120,0
decor,12.614,8.737,4.642,0.383,0.924,0.000,-0.924,0.383,0.000,0.191,0.105,0.119,0
sofa,11.557,8.865,4.209,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.508,1.013,0.443,2
chair,8.776,8.510,4.164,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.331,0.347,0.398,2
decor,11.295,7.203,4.708,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.157,0.079,0.148,0
decor,12.614,9.275,4.643,0.707,0.707,0.000,-0.707,0.707,0.000,0.317,0.144,0.169,0
decor,9.630,7.119,4.732,0.924,0.383,-0.000,-0.383,0.924,0.000,0.196,0.111,0.200,0
storage,12.705,9.337,4.153,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.229,1.639,0.409,1
chair,8.789,9.401,4.160,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.323,0.344,0.395,2
decor,11.547,10.159,4.244,0.000,1.000,-0.000,-1.000,0.000,0.000,0.248,0.221,0.416,0
chair,10.550,7.960,4.242,0.000,1.000,0.000,-1.000,0.000,0.000,0.298,0.412,0.475,2
storage,10.339,7.046,4.201,1.000,0.000,0.000,0.000,1.000,0.000,1.916,0.300,0.434,1
table,10.250,8.779,4.069,0.000,1.000,0.000,-1.000,0.000,0.000,0.405,0.389,0.306,0
decor,12.679,9.676,4.625,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.268,0.108,0.154,0
decor,10.147,7.201,4.716,0.924,0.383,0.000,-0.383,0.924,0.000,0.243,0.112,0.169,0
decor,12.743,10.605,4.606,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.170,0.130,0.147,0
decor,12.669,8.270,4.663,0.383,0.924,0.000,-0.924,0.383,0.000,0.319,0.136,0.205,0
decor,10.730,7.187,4.672,1.000,0.000,0.000,0.000,1.000,0.000,0.157,0.093,0.140,0
chair,9.827,7.927,4.234,0.000,1.000,0.000,-1.000,0.000,0.000,0.299,0.486,0.461,2
decor,8.868,7.114,4.751,0.924,0.383,0.000,-0.383,0.924,0.000,0.419,0.239,0.276,0
