label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,7.351,2.715,4.172,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.378,0.333,0.449,2
bed,5.274,4.408,4.202,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.029,0.638,0.419,2
decor,7.860,2.795,4.588,0.707,0.707,-0.000,-0.707,0.707,0.000,0.159,0.108,0.177,0
decor,6.690,2.197,4.666,1.000,0.000,0.000,0.000,1.000,0.000,0.239,0.153,0.200,0
decor,7.394,2.269,4.665,0.000,1.000,-0.000,-1.000,0.000,0.000,0.195,0.174,0.210,0
decor,7.842,6.002,4.608,1.000,0.000,0.000,0.000,1.000,0.000,0.165,0.153,0.166,0
decor,7.838,4.284,4.604,0.000,1.000,-0.000,-1.000,0.000,0.000,0.165,0.137,0.197,0
decor,7.808,6.456,4.683,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.194,0.172,0.197,0
decor,7.825,4.840,4.568,0.383,0.924,0.000,-0.924,0.383,0.000,0.198,0.117,0.150,0
decor,7.829,3.284,4.586,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.140,0.118,0.173,0
decor,7.839,3.773,4.574,0.000,1.000,0.000,-1.000,0.000,0.000,0.161,0.145,0.157,0
decor,7.805,5.450,4.599,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.170,0.140,0.167,0
