label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-22.197,-3.704,7.591,0.924,-0.383,-0.000,0.383,0.924,0.000,0.322,0.232,0.295,2
chair,-21.435,-3.303,7.569,0.383,0.924,0.000,-0.924,0.383,0.000,0.251,0.228,0.180,2
chair,-21.858,-4.427,7.562,0.383,0.924,0.000,-0.924,0.383,0.000,0.261,0.238,0.200,2
table,-18.365,-7.089,7.624,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.400,0.342,0.366,0
sofa,-19.546,-6.073,7.662,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.517,0.940,0.391,2
picture,-18.407,-1.154,8.795,0.707,0.707,-0.000,-0.707,0.707,0.000,0.273,0.035,0.312,1
picture,-21.006,0.094,8.940,0.000,1.000,0.000,-1.000,0.000,0.000,0.228,0.028,0.186,1
picture,-22.848,-5.061,8.649,0.000,1.000,0.000,-1.000,0.000,0.000,0.552,0.016,0.479,1
chair,-21.134,-4.059,7.574,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.238,0.221,0.179,2
decor,-18.195,-7.190,8.066,0.924,-0.383,-0.000,0.383,0.924,0.000,0.194,0.136,0.267,0
other,-20.131,-5.095,9.643,1.000,0.000,0.000,0.000,1.000,0.000,0.193,0.186,0.069,-1
table,-21.651,-3.870,7.651,1.000,0.000,0.000,0.000,1.000,0.000,0.587,0.579,0.359,0
picture,-18.300,-3.135,8.784,0.000,1.000,0.000,-1.000,0.000,0.000,0.407,0.018,0.518,1
picture,-22.865,-3.179,8.668,0.000,1.000,0.000,-1.000,0.000,0.000,0.640,0.022,0.459,1
picture,-21.756,-0.696,8.902,-1.000,0.000,0.000,0.000,-1.000,0.000,0.371,0.016,0.303,1
