label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-11.182,-11.694,0.648,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.321,0.406,0.603,2
picture,-11.237,-9.972,1.585,0.707,-0.707,0.000,0.707,0.707,0.000,0.522,0.035,0.429,1
picture,-11.240,-9.984,1.628,0.707,-0.707,0.000,0.707,0.707,0.000,0.558,0.037,0.451,1
chair,-12.224,-10.399,0.655,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.185,0.321,0.598,2
decor,-11.933,-14.069,0.934,0.707,0.707,-0.000,-0.707,0.707,0.000,0.235,0.219,0.877,0
chair,-12.659,-11.984,0.657,0.383,0.924,0.000,-0.924,0.383,0.000,0.279,0.464,0.609,2
chair,-11.642,-12.564,0.654,0.000,1.000,0.000,-1.000,0.000,0.000,0.451,0.906,0.609,2
chair,-13.110,-11.005,0.649,1.000,0.000,-0.000,0.000,1.000,0.000,0.479,0.706,0.612,2
chair,-13.319,-10.324,0.654,0.707,-0.707,0.000,0.707,0.707,0.000,0.473,0.369,0.609,2
decor,-12.293,-11.336,1.260,0.000,1.000,0.000,-1.000,0.000,0.000,0.259,0.254,0.462,0
chair,-11.902,-10.853,0.651,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.300,0.365,0.606,2
table,-12.316,-11.325,0.723,-0.707,0.707,0.000,-0.707,-0.707,0.000,1.558,0.627,0.085,0
