label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.915,3.401,3.275,0.000,1.000,-0.000,-1.000,0.000,0.000,0.346,0.064,0.384,-1
other,-1.593,1.590,4.449,0.000,1.000,0.000,-1.000,0.000,0.000,0.312,0.142,0.087,-1
other,-1.624,1.715,4.105,0.000,1.000,0.000,-1.000,0.000,0.000,0.187,0.184,0.138,-1
other,-1.564,1.780,3.623,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.198,0.086,0.133,-1
other,-1.626,1.398,4.073,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.156,0.063,0.118,-1
other,-1.696,1.811,2.977,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.131,0.080,0.132,-1
other,-1.658,1.631,4.544,0.000,1.000,0.000,-1.000,0.000,0.000,0.257,0.085,0.073,-1
other,-1.629,1.426,3.578,1.000,0.000,0.000,0.000,1.000,0.000,0.174,0.139,0.081,-1
other,-2.920,2.614,3.273,0.000,1.000,-0.000,-1.000,0.000,0.000,0.361,0.079,0.398,-1
picture,-1.168,2.878,4.284,0.000,1.000,0.000,-1.000,0.000,0.000,0.940,0.163,0.603,1
other,-1.680,1.595,3.889,0.000,1.000,0.000,-1.000,0.000,0.000,0.308,0.107,0.103,-1
other,-1.587,1.407,3.924,0.000,1.000,0.000,-1.000,0.000,0.000,0.132,0.077,0.111,-1
chair,-2.824,3.608,2.683,0.000,1.000,0.000,-1.000,0.000,0.000,0.181,0.157,0.078,2
other,-1.707,1.540,2.996,0.000,1.000,0.000,-1.000,0.000,0.000,0.253,0.113,0.138,-1
storage,-1.530,1.642,3.762,-1.000,0.000,0.000,0.000,-1.000,0.000,0.294,0.389,1.142,1
other,-2.139,4.402,3.169,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.858,0.373,0.348,-1
other,-1.706,1.591,4.351,0.000,1.000,0.000,-1.000,0.000,0.000,0.294,0.079,0.082,-1
other,-1.623,1.473,4.177,0.383,0.924,0.000,-0.924,0.383,0.000,0.188,0.074,0.070,-1
other,-1.608,3.510,3.038,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.319,0.214,0.425,-1
other,-1.701,1.749,3.286,0.000,1.000,0.000,-1.000,0.000,0.000,0.152,0.118,0.117,-1
other,-1.691,1.482,3.292,0.000,1.000,0.000,-1.000,0.000,0.000,0.205,0.133,0.130,-1
