label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
tv,-12.708,-8.512,1.020,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.559,0.116,0.376,2
decor,-13.099,-12.470,1.604,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.281,0.186,0.160,0
table,-16.095,-12.296,0.644,1.000,0.000,0.000,0.000,1.000,0.000,0.490,0.278,0.457,0
picture,-17.227,-11.719,1.546,0.000,1.000,-0.000,-1.000,0.000,0.000,0.122,0.013,0.145,1
picture,-17.196,-11.704,2.203,0.000,1.000,-0.000,-1.000,0.000,0.000,0.106,0.010,0.135,1
bed,-14.593,-11.364,1.748,0.000,1.000,-0.000,-1.000,0.000,0.000,1.338,1.135,1.606,2
decor,-15.985,-12.338,1.677,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.217,0.143,0.133,0
table,-16.837,-10.187,0.574,0.000,1.000,0.000,-1.000,0.000,0.000,0.554,0.409,0.392,0
table,-13.119,-12.415,0.600,1.000,0.000,0.000,0.000,1.000,0.000,0.516,0.312,0.454,0
other,-14.508,-10.139,3.169,1.000,0.000,0.000,0.000,1.000,0.000,0.340,0.294,0.389,-1
sofa,-16.184,-8.604,0.617,0.924,-0.383,-0.000,0.383,0.924,-0.000,1.069,0.646,0.482,2
