label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-0.062,-10.038,0.614,0.924,0.383,-0.000,-0.383,0.924,0.000,0.479,0.357,0.593,2
table,3.710,-6.801,0.434,1.000,0.000,0.000,0.000,1.000,0.000,0.331,0.243,0.399,0
other,3.745,-6.739,1.256,0.000,1.000,-0.000,-1.000,0.000,0.000,0.157,0.154,0.310,-1
storage,-0.123,-8.696,0.769,0.000,1.000,-0.000,-1.000,0.000,0.000,0.512,0.290,0.761,1
bed,2.302,-7.703,0.788,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.134,1.144,0.767,2
decor,2.736,-11.226,1.293,1.000,0.000,0.000,0.000,1.000,0.000,0.205,0.203,0.370,0
decor,-0.209,-9.501,0.924,1.000,0.000,0.000,0.000,1.000,0.000,0.149,0.129,0.902,0
table,0.769,-6.840,0.403,1.000,0.000,0.000,0.000,1.000,0.000,0.347,0.258,0.385,0
decor,2.414,-8.996,3.351,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.167,0.152,0.582,0
decor,0.884,-6.724,1.159,0.707,0.707,-0.000,-0.707,0.707,0.000,0.175,0.151,0.397,0
storage,2.083,-11.180,0.486,1.000,0.000,0.000,0.000,1.000,0.000,0.819,0.266,0.464,1
