label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-9.230,23.039,6.079,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.213,0.020,0.199,1
table,-5.747,22.882,4.615,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.269,0.181,0.416,0
picture,-5.715,23.038,5.531,1.000,0.000,0.000,0.000,1.000,0.000,0.250,0.018,0.350,1
picture,-9.113,23.046,5.610,1.000,0.000,0.000,0.000,1.000,0.000,0.302,0.023,0.308,1
table,-9.090,22.726,4.602,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.211,0.193,0.406,0
picture,-7.435,17.706,6.020,1.000,0.000,0.000,0.000,1.000,0.000,0.619,0.037,0.567,1
storage,-4.854,20.214,5.475,0.000,1.000,-0.000,-1.000,0.000,0.000,1.003,0.269,1.353,1
sofa,-9.586,19.819,4.666,0.924,0.383,0.000,-0.383,0.924,0.000,0.887,0.454,0.552,2
bed,-8.293,21.941,4.840,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.065,0.681,0.736,2
storage,-7.561,18.585,5.814,1.000,0.000,0.000,0.000,1.000,0.000,0.575,0.190,1.346,1
bed,-6.772,21.921,4.859,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.096,0.679,0.748,2
picture,-8.383,18.685,5.747,1.000,0.000,0.000,0.000,1.000,0.000,0.175,0.014,0.134,1
chair,-7.594,18.930,4.644,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.305,0.388,0.533,2
picture,-10.349,19.447,5.340,0.000,1.000,-0.000,-1.000,0.000,0.000,0.755,0.207,1.214,1
table,-6.798,18.940,4.487,1.000,0.000,0.000,0.000,1.000,0.000,0.437,0.353,0.382,0
picture,-5.745,23.040,6.080,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.222,0.016,0.206,1
picture,-6.805,18.683,5.566,1.000,0.000,0.000,0.000,1.000,0.000,0.155,0.015,0.288,1
