label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,3.192,-8.691,3.716,0.000,1.000,0.000,-1.000,0.000,0.000,0.249,0.223,0.157,2
chair,1.999,-9.144,0.508,0.000,1.000,0.000,-1.000,0.000,0.000,0.345,0.354,0.525,2
table,3.400,-8.640,3.921,0.000,1.000,0.000,-1.000,0.000,0.000,0.470,0.332,0.408,0
storage,0.525,-7.948,3.922,0.000,1.000,0.000,-1.000,0.000,0.000,0.954,0.244,0.516,1
chair,1.496,-8.362,0.506,1.000,0.000,0.000,0.000,1.000,0.000,0.462,0.357,0.522,2
chair,1.993,-7.807,0.507,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.342,0.349,0.519,2
decor,2.010,-8.432,1.048,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.176,0.143,0.296,0
chair,2.643,-8.378,0.506,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.339,0.346,0.519,2
storage,3.403,-7.629,3.836,0.000,1.000,0.000,-1.000,0.000,0.000,0.599,0.314,0.431,1
table,0.400,-7.128,0.512,0.000,1.000,0.000,-1.000,0.000,0.000,0.857,0.229,0.525,0
other,3.311,-8.346,3.567,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.198,0.164,0.174,-1
table,2.001,-8.451,0.373,0.924,0.383,0.000,-0.383,0.924,0.000,0.679,0.679,0.390,0
other,2.011,-9.309,3.812,1.000,0.000,0.000,0.000,1.000,0.000,1.378,0.657,0.429,-1
other,0.236,-7.162,1.735,0.000,1.000,-0.000,-1.000,0.000,0.000,0.440,0.048,0.610,-1
