label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-1.049,-47.112,0.588,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.338,0.525,0.440,2
chair,-1.691,-46.076,0.464,0.000,1.000,0.000,-1.000,0.000,0.000,0.361,0.256,0.298,2
table,0.268,-43.770,0.738,0.000,1.000,0.000,-1.000,0.000,0.000,0.501,0.499,0.144,0
chair,-0.597,-44.313,0.562,-0.707,-0.707,-0.000,0.707,-0.707,0.000,1.636,0.650,0.434,2
chair,0.284,-41.963,0.590,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.356,0.314,0.414,2
chair,3.268,-44.052,0.566,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.365,0.357,0.423,2
chair,2.191,-43.434,0.582,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.244,0.435,0.407,2
table,-0.256,-41.620,0.825,0.924,0.383,0.000,-0.383,0.924,0.000,0.491,0.481,0.047,0
table,-1.707,-45.700,0.866,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.484,0.480,0.036,0
chair,2.478,-41.186,0.573,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.369,0.469,0.429,2
chair,-1.961,-45.409,0.585,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.319,0.607,0.428,2
chair,2.659,-41.639,0.570,0.924,0.383,0.000,-0.383,0.924,0.000,0.702,0.509,0.427,2
chair,1.304,-45.929,0.572,0.924,0.383,-0.000,-0.383,0.924,0.000,0.400,0.364,0.428,2
chair,0.694,-43.602,0.569,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.273,0.443,0.423,2
chair,-1.686,-42.809,0.559,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.440,0.573,0.438,2
chair,-0.151,-43.957,0.571,0.924,0.383,-0.000,-0.383,0.924,0.000,0.355,0.397,0.427,2
chair,-1.210,-45.755,0.654,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.359,0.347,0.355,2
chair,0.426,-44.318,0.623,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.314,0.301,0.367,2
chair,-2.227,-45.802,0.580,0.924,0.383,-0.000,-0.383,0.924,0.000,0.381,0.330,0.438,2
table,2.670,-43.546,0.825,1.000,0.000,0.000,0.000,1.000,0.000,0.502,0.478,0.048,0
chair,2.471,-44.059,0.589,0.707,0.707,-0.000,-0.707,0.707,0.000,0.350,0.303,0.393,2
chair,3.443,-41.163,0.566,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.440,0.314,0.446,2
chair,3.118,-46.725,0.604,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.342,0.345,0.393,2
chair,2.404,-46.878,0.561,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.334,0.417,0.432,2
table,2.807,-41.597,0.597,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.532,0.482,0.280,0
chair,2.085,-45.924,0.567,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.345,0.324,0.424,2
chair,-2.037,-43.094,0.594,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.637,0.329,0.428,2
chair,-1.682,-41.992,0.552,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.165,1.647,0.447,2
table,-1.742,-43.265,0.834,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.486,0.484,0.068,0
table,2.729,-47.181,0.800,1.000,0.000,0.000,0.000,1.000,0.000,0.494,0.493,0.078,0
chair,3.166,-41.963,0.615,-0.707,0.707,-0.000,-0.707,-0.707,0.000,0.286,0.385,0.370,2
chair,2.130,-47.507,0.661,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.194,0.364,0.343,2
chair,-1.123,-43.237,0.613,-1.000,0.000,0.000,0.000,-1.000,0.000,0.391,0.420,0.388,2
chair,3.192,-47.720,0.583,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.360,0.332,0.417,2
chair,2.784,-43.483,0.550,1.000,0.000,0.000,0.000,1.000,0.000,0.720,0.515,0.429,2
chair,-0.059,-41.254,0.577,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.847,0.551,0.434,2
chair,1.420,-45.328,0.628,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.486,0.331,0.364,2
table,1.540,-45.557,0.835,1.000,0.000,0.000,0.000,1.000,0.000,0.528,0.492,0.049,0
chair,-1.900,-43.644,0.635,0.707,0.707,0.000,-0.707,0.707,0.000,0.400,0.332,0.376,2
chair,0.254,-41.191,0.595,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.372,0.437,0.407,2
