label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-2.827,-0.754,0.562,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.374,0.590,0.540,2
decor,-1.001,-2.724,0.886,1.000,0.000,0.000,0.000,1.000,0.000,0.045,0.033,0.150,0
table,-2.336,-0.880,0.525,0.000,1.000,0.000,-1.000,0.000,0.000,0.924,0.612,0.357,0
chair,-2.300,-1.880,0.554,0.000,1.000,0.000,-1.000,0.000,0.000,0.302,0.335,0.540,2
chair,-2.136,-0.000,0.588,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.320,0.515,0.519,2
picture,-4.015,-0.408,1.842,0.000,1.000,0.000,-1.000,0.000,0.000,0.239,0.017,0.193,1
table,-1.232,-2.521,0.454,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.388,0.233,0.452,0
storage,-3.746,-1.579,1.225,0.000,1.000,-0.000,-1.000,0.000,0.000,1.209,0.316,1.223,1
other,-2.537,-1.064,1.892,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.266,0.262,0.237,-1
table,-3.804,-0.305,0.420,0.000,1.000,0.000,-1.000,0.000,0.000,0.508,0.237,0.417,0
chair,-1.770,-0.916,0.554,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.368,0.330,0.542,2
