label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,12.588,3.252,0.521,0.924,-0.383,0.000,0.383,0.924,-0.000,0.141,0.305,0.152,2
table,13.863,2.726,0.220,0.000,1.000,0.000,-1.000,0.000,0.000,0.462,0.295,0.228,0
other,13.908,2.730,-0.003,0.000,1.000,0.000,-1.000,0.000,0.000,1.108,0.785,0.023,-1
picture,9.956,0.250,1.562,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.107,0.037,0.784,1
table,14.016,4.552,0.291,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.360,0.281,0.330,0
picture,12.137,2.921,1.736,0.000,1.000,0.000,-1.000,0.000,0.000,0.547,0.033,0.535,1
decor,15.571,4.546,0.917,1.000,0.000,0.000,0.000,1.000,0.000,0.438,0.282,0.744,0
chair,12.337,1.937,0.732,0.707,0.707,-0.000,-0.707,0.707,0.000,0.194,0.424,0.189,2
decor,12.378,1.284,0.261,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.186,0.180,0.267,0
decor,12.646,1.445,0.275,0.000,1.000,-0.000,-1.000,0.000,0.000,0.164,0.161,0.280,0
chair,12.458,3.454,0.708,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.170,0.273,0.165,2
chair,13.413,1.015,0.540,0.707,0.707,-0.000,-0.707,0.707,0.000,0.461,0.440,0.533,2
sofa,12.559,2.644,0.477,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.432,1.121,0.395,2
decor,12.030,1.564,1.591,0.000,1.000,0.000,-1.000,0.000,0.000,0.532,0.079,0.387,0
decor,12.002,1.584,1.443,0.000,1.000,0.000,-1.000,0.000,0.000,0.241,0.080,0.231,0
chair,14.960,1.018,0.533,-0.383,0.924,-0.000,-0.924,-0.383,0.000,0.133,0.294,0.133,2
table,14.165,0.951,0.426,1.000,0.000,0.000,0.000,1.000,0.000,0.275,0.256,0.060,0
chair,12.559,2.071,0.531,0.707,0.707,-0.000,-0.707,0.707,0.000,0.106,0.312,0.161,2
chair,15.346,3.493,0.380,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.810,0.325,0.363,2
chair,14.960,1.134,0.542,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.428,0.399,0.534,2
tv,14.016,4.799,1.409,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.047,0.650,0.405,2
