label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,10.533,-6.446,2.787,1.000,0.000,0.000,0.000,1.000,0.000,0.146,0.137,0.171,-1
other,10.455,-2.398,2.682,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.153,0.088,0.114,-1
other,9.541,-0.873,3.642,1.000,0.000,0.000,0.000,1.000,0.000,1.813,1.336,0.044,-1
table,8.735,-1.023,3.946,0.000,1.000,0.000,-1.000,0.000,0.000,0.493,0.291,0.333,0
other,9.211,-4.769,3.676,0.000,1.000,0.000,-1.000,0.000,0.000,1.356,0.926,0.061,-1
storage,8.186,0.633,4.083,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.214,0.514,0.450,1
sofa,8.906,0.640,4.086,-0.000,-1.000,-0.000,1.000,-0.000,0.000,0.617,0.462,0.474,2
chair,9.294,-4.864,4.119,-1.000,0.000,0.000,0.000,-1.000,0.000,0.241,0.261,0.375,2
sofa,10.349,-1.476,4.033,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.332,0.284,0.421,2
other,10.523,-3.276,2.684,0.000,1.000,0.000,-1.000,0.000,0.000,0.146,0.126,0.079,-1
sofa,9.006,-2.497,4.054,0.000,1.000,0.000,-1.000,0.000,0.000,0.484,0.615,0.447,2
table,8.916,-4.911,4.024,0.000,1.000,0.000,-1.000,0.000,0.000,0.534,0.442,0.376,0
decor,8.160,-2.147,4.675,0.383,0.924,0.000,-0.924,0.383,0.000,0.140,0.107,0.116,0
other,10.520,-7.342,2.691,1.000,0.000,0.000,0.000,1.000,0.000,0.139,0.133,0.080,-1
other,10.283,0.754,3.854,1.000,0.000,0.000,0.000,1.000,0.000,0.385,0.317,0.254,-1
decor,9.514,-10.248,3.757,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.276,0.155,0.150,0
chair,11.538,-6.956,3.648,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.371,0.299,0.061,2
other,10.813,-4.830,4.229,0.000,1.000,0.000,-1.000,0.000,0.000,1.007,0.269,0.622,-1
sofa,8.400,-4.886,4.082,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.468,0.657,0.460,2
