label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,1.295,-4.146,5.774,1.000,0.000,0.000,0.000,1.000,0.000,0.179,0.014,0.123,1
picture,1.038,-4.177,4.721,1.000,0.000,0.000,0.000,1.000,0.000,0.242,0.015,0.283,1
picture,0.420,-4.184,4.716,1.000,0.000,0.000,0.000,1.000,0.000,0.236,0.014,0.279,1
storage,0.219,-8.084,4.059,1.000,0.000,0.000,0.000,1.000,0.000,0.668,0.353,0.839,1
storage,-1.668,-7.327,4.236,0.707,0.707,-0.000,-0.707,0.707,0.000,0.223,0.518,0.999,1
picture,2.698,-7.820,4.741,0.000,1.000,-0.000,-1.000,0.000,0.000,0.399,0.023,0.498,1
sofa,0.194,-4.770,3.645,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.625,1.168,0.446,2
storage,2.228,-4.364,4.267,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.214,0.512,1.054,1
sofa,1.904,-7.799,3.664,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.751,0.892,0.452,2
picture,-0.164,-4.179,4.739,1.000,0.000,0.000,0.000,1.000,0.000,0.262,0.020,0.300,1
picture,0.127,-8.393,4.857,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.494,0.046,0.290,1
