label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-2.562,-1.570,1.452,0.000,1.000,-0.000,-1.000,0.000,0.000,0.232,0.029,0.449,1
picture,0.084,-1.640,1.621,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.273,0.046,0.358,1
table,-2.487,-1.666,0.336,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.116,0.342,0
storage,-2.685,-0.943,0.872,0.000,1.000,-0.000,-1.000,0.000,0.000,0.351,0.120,0.877,1
picture,-1.794,-3.386,1.623,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.272,0.043,0.365,1
table,-0.182,-1.382,0.274,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.361,0.334,0.296,0
storage,-2.716,-0.960,1.952,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.150,0.049,0.281,1
table,-1.455,-2.884,0.319,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.286,0.244,0.316,0
decor,-0.142,-1.423,0.789,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.145,0.114,0.164,0
storage,0.117,-1.040,0.492,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.146,0.129,0.506,1
