label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-5.279,-2.988,2.666,0.383,0.924,-0.000,-0.924,0.383,0.000,0.144,0.269,0.281,2
sofa,-5.668,-5.165,-1.748,1.000,0.000,-0.000,0.000,1.000,0.000,0.957,1.421,0.444,2
table,-5.341,-2.452,2.479,0.924,-0.383,0.000,0.383,0.924,0.000,1.122,0.659,0.396,0
table,-3.263,-5.862,-2.005,0.383,0.924,0.000,-0.924,0.383,0.000,0.784,0.255,0.222,0
chair,-5.605,-1.944,2.667,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.318,0.333,0.279,2
table,-3.612,-4.278,-1.893,0.924,0.383,0.000,-0.383,0.924,0.000,0.293,0.285,0.270,0
chair,-6.359,-2.191,2.655,0.924,-0.383,0.000,0.383,0.924,0.000,0.295,0.277,0.290,2
table,-4.322,-6.661,-1.909,-1.000,0.000,0.000,0.000,-1.000,0.000,0.391,0.211,0.135,0
chair,-5.708,-2.796,2.676,0.383,0.924,0.000,-0.924,0.383,0.000,0.254,0.442,0.269,2
decor,-3.610,-4.260,-1.500,1.000,0.000,-0.000,0.000,1.000,0.000,0.159,0.117,0.161,0
chair,-4.359,-2.673,2.665,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.277,0.248,0.281,2
