label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,1.772,6.907,1.284,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.393,0.382,0.297,2
decor,-1.100,7.643,2.220,0.000,1.000,-0.000,-1.000,0.000,0.000,0.626,0.030,0.737,0
chair,-0.253,11.257,1.290,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.230,0.281,0.051,2
decor,-1.263,11.931,1.735,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.226,0.162,0.051,0
decor,-0.901,11.926,1.796,0.000,1.000,0.000,-1.000,0.000,0.000,0.157,0.154,0.112,0
chair,0.619,6.734,1.252,0.383,0.924,0.000,-0.924,0.383,0.000,0.382,0.380,0.311,2
decor,-1.710,11.604,1.731,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.143,0.125,0.065,0
table,-1.079,11.721,1.416,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.634,0.420,0.508,0
tv,-0.076,11.575,2.370,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.147,0.551,0.342,2
table,1.075,8.174,1.598,1.000,0.000,0.000,0.000,1.000,0.000,0.756,0.358,0.093,0
chair,1.047,8.479,1.410,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.503,0.506,0.356,2
picture,1.530,9.885,2.205,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.276,0.085,0.524,1
picture,-1.050,7.637,2.184,0.000,1.000,-0.000,-1.000,0.000,0.000,0.636,0.061,0.679,1
chair,-1.289,11.132,1.444,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.303,0.301,0.330,2
chair,-2.218,10.179,1.354,1.000,0.000,0.000,0.000,1.000,0.000,0.507,0.425,0.236,2
decor,-1.649,11.979,1.819,1.000,0.000,0.000,0.000,1.000,0.000,0.129,0.108,0.137,0
