label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-11.053,-23.588,3.561,0.383,0.924,-0.000,-0.924,0.383,0.000,0.180,0.168,0.218,-1
chair,-9.027,-21.956,0.519,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.244,0.356,0.503,2
table,-11.403,-21.862,0.755,0.000,1.000,0.000,-1.000,0.000,0.000,0.426,0.294,0.107,0
other,-10.700,-21.133,3.630,0.383,0.924,-0.000,-0.924,0.383,0.000,0.191,0.177,0.326,-1
other,-8.615,-23.585,3.598,0.707,0.707,-0.000,-0.707,0.707,0.000,0.169,0.126,0.248,-1
chair,-10.966,-22.827,0.512,1.000,0.000,0.000,0.000,1.000,0.000,0.402,0.348,0.496,2
chair,-9.012,-23.015,0.518,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.224,0.268,0.501,2
table,-8.803,-22.948,0.786,-1.000,0.000,0.000,0.000,-1.000,0.000,0.331,0.435,0.198,0
table,-8.766,-21.886,0.681,-1.000,0.000,0.000,0.000,-1.000,0.000,0.298,0.428,0.181,0
other,-9.580,-22.064,0.204,0.383,0.924,0.000,-0.924,0.383,0.000,0.208,0.179,0.188,-1
chair,-10.863,-21.940,0.518,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.350,0.356,0.499,2
table,-11.426,-22.910,0.705,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.300,0.430,0.149,0
other,-11.931,-24.343,2.498,0.000,1.000,0.000,-1.000,0.000,0.000,9.058,6.943,2.372,-1
