label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-8.476,-2.465,-1.957,1.000,0.000,-0.000,0.000,1.000,0.000,0.333,0.063,1.025,-1
other,-10.285,3.117,-1.923,1.000,0.000,-0.000,0.000,1.000,0.000,0.816,0.062,1.000,-1
other,-12.101,3.035,-1.920,1.000,0.000,-0.000,0.000,1.000,0.000,0.811,0.041,1.003,-1
bed,-11.274,1.669,0.467,0.000,-1.000,-0.000,1.000,0.000,-0.000,1.273,0.971,0.478,2
other,-13.006,0.333,-1.940,0.000,1.000,0.000,-1.000,0.000,0.000,0.820,0.080,1.001,-1
other,-13.050,-1.396,-2.020,0.000,1.000,0.000,-1.000,0.000,0.000,0.737,0.063,0.940,-1
decor,-10.215,2.892,0.628,0.000,1.000,0.000,-1.000,0.000,0.000,0.122,0.107,0.093,0
other,-7.567,-0.969,-2.112,0.000,1.000,0.000,-1.000,0.000,0.000,0.557,0.096,0.832,-1
other,-8.518,3.138,-1.929,1.000,0.000,-0.000,0.000,1.000,0.000,0.758,0.033,0.995,-1
other,-7.579,0.444,-1.955,0.000,1.000,0.000,-1.000,0.000,0.000,0.853,0.097,0.986,-1
table,-10.234,2.787,0.463,0.000,1.000,0.000,-1.000,0.000,0.000,0.309,0.294,0.147,0
storage,-9.593,-0.405,0.499,0.000,1.000,-0.000,-1.000,0.000,0.000,0.298,0.553,0.507,1
