label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-1.430,1.020,0.273,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.289,0.263,0.264,0
other,1.828,4.826,-0.240,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.121,0.099,0.012,-1
other,-0.266,2.413,-0.213,0.000,1.000,0.000,-1.000,0.000,0.000,0.102,0.089,0.010,-1
other,-0.261,1.221,-0.211,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.104,0.100,0.004,-1
chair,-1.677,2.158,-1.777,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.293,0.306,0.486,2
other,0.937,0.417,0.464,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.211,0.671,0.477,-1
decor,-1.961,1.276,0.813,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.242,0.164,0.295,0
other,-1.186,2.426,-0.205,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.109,0.096,0.006,-1
chair,-1.808,0.260,0.520,0.383,0.924,-0.000,-0.924,0.383,0.000,0.432,0.601,0.511,2
other,-1.158,3.579,-0.208,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.100,0.086,0.009,-1
table,-0.062,3.800,0.476,1.000,0.000,0.000,0.000,1.000,0.000,0.628,0.623,0.447,0
chair,-1.297,2.032,0.550,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.388,0.427,0.553,2
table,-1.442,3.047,-1.869,0.000,1.000,0.000,-1.000,0.000,0.000,0.864,0.518,0.388,0
