label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-6.834,-4.138,1.757,0.000,1.000,0.000,-1.000,0.000,0.000,0.142,0.107,0.068,-1
picture,-5.138,-2.950,0.340,0.000,1.000,-0.000,-1.000,0.000,0.000,0.269,0.011,0.309,1
other,-7.849,-4.159,1.088,0.000,1.000,0.000,-1.000,0.000,0.000,0.121,0.096,0.064,-1
picture,-7.361,-4.742,0.389,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.573,0.034,0.723,1
picture,-9.005,-4.782,-0.682,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.463,0.026,0.617,1
picture,-8.175,-4.745,3.580,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.811,0.035,0.559,1
other,-9.041,-4.184,0.756,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.115,0.077,0.007,-1
other,-6.455,-4.602,-2.253,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.105,0.046,0.207,-1
decor,-7.772,-3.212,-2.164,0.000,1.000,-0.000,-1.000,0.000,0.000,0.374,0.303,0.789,0
other,-5.822,-4.403,-2.376,1.000,0.000,0.000,0.000,1.000,0.000,0.483,0.301,0.190,-1
decor,-7.064,-3.125,0.153,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.358,0.225,0.700,0
picture,-5.920,-4.601,-1.694,1.000,0.000,0.000,0.000,1.000,0.000,0.289,0.109,0.434,1
other,-9.816,-2.013,3.006,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.116,0.088,0.005,-1
other,-8.210,-2.038,3.022,1.000,0.000,0.000,0.000,1.000,0.000,0.092,0.063,0.005,-1
other,-5.260,-4.616,-2.243,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.119,0.056,0.194,-1
other,-5.836,-4.453,-0.860,0.383,0.924,0.000,-0.924,0.383,0.000,0.115,0.049,0.005,-1
