label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,12.350,-17.275,1.486,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.415,0.043,0.593,1
picture,13.753,-18.831,1.190,1.000,0.000,0.000,0.000,1.000,0.000,0.217,0.009,0.257,1
picture,15.768,-18.845,1.279,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.218,0.011,0.247,1
picture,16.037,-17.281,1.487,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.397,0.034,0.598,1
picture,12.759,-18.847,1.462,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.152,0.009,0.519,1
picture,15.749,-18.848,1.802,1.000,0.000,0.000,0.000,1.000,0.000,0.217,0.009,0.237,1
other,17.864,-17.739,3.895,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.357,0.315,0.332,-1
picture,12.367,-18.847,1.753,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.240,0.013,0.385,1
picture,13.758,-18.834,1.847,1.000,0.000,0.000,0.000,1.000,0.000,0.360,0.010,0.291,1
picture,11.950,-18.844,1.546,1.000,0.000,0.000,0.000,1.000,0.000,0.153,0.011,0.415,1
picture,16.261,-18.850,1.783,1.000,0.000,0.000,0.000,1.000,0.000,0.219,0.012,0.237,1
picture,16.267,-18.845,1.282,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.203,0.009,0.211,1
picture,14.682,-18.844,1.625,1.000,0.000,0.000,0.000,1.000,0.000,0.375,0.021,0.475,1
