label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,18.238,-18.558,4.959,0.000,1.000,-0.000,-1.000,0.000,0.000,0.154,0.016,0.164,1
decor,21.390,-17.534,4.605,1.000,0.000,0.000,0.000,1.000,0.000,0.393,0.260,0.286,0
picture,23.218,-19.770,5.594,0.000,1.000,0.000,-1.000,0.000,0.000,0.272,0.018,0.264,1
storage,22.800,-20.198,4.794,0.000,1.000,-0.000,-1.000,0.000,0.000,0.370,0.344,1.280,1
picture,18.245,-18.061,5.158,0.000,1.000,-0.000,-1.000,0.000,0.000,0.163,0.011,0.163,1
picture,18.221,-18.528,4.962,0.000,1.000,-0.000,-1.000,0.000,0.000,0.168,0.026,0.187,1
storage,18.820,-18.502,4.909,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.374,1.199,1.369,1
picture,18.206,-18.183,5.210,0.000,1.000,-0.000,-1.000,0.000,0.000,0.084,0.023,0.255,1
storage,22.561,-17.861,4.962,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.602,0.837,1.446,1
picture,23.118,-18.981,4.943,0.000,1.000,-0.000,-1.000,0.000,0.000,0.269,0.028,0.273,1
