label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,23.082,-22.687,5.028,0.000,1.000,0.000,-1.000,0.000,0.000,0.255,0.053,0.124,-1
other,20.736,-23.286,4.357,0.000,1.000,-0.000,-1.000,0.000,0.000,0.119,0.083,0.234,-1
other,16.890,-20.740,5.094,1.000,0.000,0.000,0.000,1.000,0.000,0.155,0.074,0.344,-1
picture,18.066,-25.424,5.120,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.758,0.054,0.542,1
other,17.167,-25.217,5.051,0.000,1.000,-0.000,-1.000,0.000,0.000,0.218,0.084,0.363,-1
other,18.096,-25.187,4.255,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.851,0.259,0.170,-1
picture,23.126,-22.718,5.578,0.000,1.000,0.000,-1.000,0.000,0.000,0.240,0.018,0.225,1
picture,16.636,-21.713,4.974,0.000,1.000,0.000,-1.000,0.000,0.000,0.781,0.027,0.380,1
picture,23.089,-21.398,5.090,0.000,1.000,0.000,-1.000,0.000,0.000,0.276,0.014,0.201,1
other,16.905,-24.913,5.043,1.000,0.000,0.000,0.000,1.000,0.000,0.126,0.081,0.340,-1
other,16.852,-23.939,4.345,0.000,1.000,0.000,-1.000,0.000,0.000,0.224,0.210,0.082,-1
other,18.073,-25.400,5.539,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.503,0.084,0.185,-1
other,16.906,-21.678,4.347,0.000,1.000,0.000,-1.000,0.000,0.000,0.176,0.154,0.072,-1
tv,19.665,-21.014,5.511,1.000,0.000,0.000,0.000,1.000,0.000,0.256,0.222,0.213,2
other,16.921,-23.930,4.503,0.000,1.000,0.000,-1.000,0.000,0.000,0.883,0.294,0.243,-1
chair,18.050,-24.874,4.045,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.268,0.371,0.527,2
other,16.709,-24.021,5.593,0.000,1.000,0.000,-1.000,0.000,0.000,0.469,0.093,0.147,-1
other,16.912,-21.692,4.433,0.000,1.000,0.000,-1.000,0.000,0.000,0.868,0.294,0.131,-1
other,16.697,-21.682,5.620,0.000,1.000,0.000,-1.000,0.000,0.000,0.518,0.087,0.120,-1
other,16.890,-22.839,5.075,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.155,0.340,-1
decor,20.851,-25.005,4.384,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.327,0.276,0.327,0
other,23.034,-22.714,4.475,0.000,1.000,-0.000,-1.000,0.000,0.000,0.359,0.098,0.422,-1
picture,16.660,-23.962,4.982,0.000,1.000,0.000,-1.000,0.000,0.000,0.760,0.040,0.356,1
