label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-3.684,4.624,-2.306,1.000,0.000,0.000,0.000,1.000,0.000,0.764,0.412,0.449,1
other,-3.638,4.534,-1.956,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.237,0.157,0.101,-1
chair,-3.196,4.524,0.546,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.393,0.291,0.545,2
other,-4.823,4.565,-2.215,0.000,1.000,0.000,-1.000,0.000,0.000,0.371,0.238,0.283,-1
chair,-4.291,5.189,0.558,1.000,0.000,0.000,0.000,1.000,0.000,0.365,0.268,0.544,2
other,-3.633,4.497,-1.822,1.000,0.000,0.000,0.000,1.000,0.000,0.723,0.300,0.190,-1
other,-3.936,5.155,-2.683,1.000,0.000,0.000,0.000,1.000,0.000,1.040,0.637,0.076,-1
chair,-3.165,5.311,0.555,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.367,0.270,0.533,2
other,-5.224,5.200,-1.724,0.000,1.000,-0.000,-1.000,0.000,0.000,0.195,0.090,0.246,-1
chair,-4.250,4.410,0.558,1.000,0.000,0.000,0.000,1.000,0.000,0.411,0.289,0.545,2
