label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,3.251,-2.814,-0.064,1.000,0.000,0.000,0.000,1.000,0.000,0.289,0.055,0.439,-1
decor,5.110,-2.579,0.365,0.000,1.000,-0.000,-1.000,0.000,0.000,0.356,0.247,0.406,0
other,5.122,-3.322,-0.150,0.000,1.000,0.000,-1.000,0.000,0.000,0.213,0.126,0.102,-1
decor,5.206,-4.826,-0.222,1.000,0.000,0.000,0.000,1.000,0.000,0.165,0.120,0.201,0
other,5.111,-4.138,-0.144,0.000,1.000,0.000,-1.000,0.000,0.000,0.217,0.146,0.125,-1
other,5.114,-3.449,-0.290,0.000,1.000,0.000,-1.000,0.000,0.000,1.153,0.268,0.385,-1
table,5.161,-4.855,-0.556,0.000,1.000,-0.000,-1.000,0.000,0.000,0.286,0.220,0.318,0
sofa,4.853,-3.245,2.966,-1.000,0.000,0.000,0.000,-1.000,0.000,0.407,1.661,0.263,2
other,4.633,-5.773,-0.297,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.824,0.636,0.566,-1
sofa,4.118,-3.330,2.955,-1.000,0.000,0.000,0.000,-1.000,0.000,0.956,1.665,0.257,2
other,5.126,-2.068,0.268,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.235,0.051,0.235,-1
