label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-6.418,1.899,-1.496,0.000,1.000,-0.000,-1.000,0.000,0.000,0.714,0.073,0.837,1
other,-6.186,2.438,-2.332,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.162,0.149,0.056,-1
other,-6.121,2.463,-2.316,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.139,0.064,0.039,-1
other,-6.377,2.705,-3.159,0.000,1.000,-0.000,-1.000,0.000,0.000,0.154,0.110,0.159,-1
other,-5.339,2.277,-0.618,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.051,0.049,0.024,-1
picture,-5.645,3.400,-1.612,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.396,0.026,0.554,1
other,-6.360,2.429,-2.339,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.062,0.060,0.049,-1
other,-6.156,1.900,-2.808,0.000,1.000,0.000,-1.000,0.000,0.000,0.708,0.329,0.514,-1
other,-6.226,1.904,-2.480,0.000,1.000,0.000,-1.000,0.000,0.000,0.278,0.198,0.089,-1
other,-6.297,2.468,-2.331,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.073,0.032,0.021,-1
other,-6.095,3.063,-2.932,1.000,0.000,0.000,0.000,1.000,0.000,0.388,0.275,0.378,-1
other,-6.099,1.268,-1.946,1.000,0.000,0.000,0.000,1.000,0.000,0.137,0.083,0.240,-1
