label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,7.739,-4.153,4.459,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.823,0.067,0.686,1
bed,6.153,-1.199,3.712,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.185,1.111,0.683,2
picture,7.229,0.722,4.645,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.476,0.054,0.638,1
sofa,7.708,-3.819,3.255,0.000,1.000,-0.000,-1.000,0.000,0.000,0.346,0.978,0.295,2
decor,5.220,0.150,4.244,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.190,0.183,0.164,0
table,5.260,-2.527,3.398,0.000,1.000,-0.000,-1.000,0.000,0.000,0.385,0.315,0.394,0
table,5.341,0.100,3.542,0.000,1.000,0.000,-1.000,0.000,0.000,0.436,0.306,0.412,0
picture,9.630,-0.222,4.527,0.000,1.000,0.000,-1.000,0.000,0.000,0.655,0.034,0.469,1
decor,5.133,-2.567,4.145,0.000,1.000,0.000,-1.000,0.000,0.000,0.198,0.164,0.144,0
sofa,8.986,-0.052,3.675,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.470,0.504,0.367,2
