label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,4.790,-4.759,1.235,1.000,0.000,0.000,0.000,1.000,0.000,0.271,0.016,0.317,1
picture,6.798,-3.161,1.694,0.000,1.000,0.000,-1.000,0.000,0.000,0.496,0.025,0.334,1
bed,5.782,-3.173,0.429,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.034,0.919,0.445,2
table,6.574,-2.038,0.387,0.000,1.000,0.000,-1.000,0.000,0.000,0.421,0.239,0.406,0
picture,4.802,-4.726,1.916,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.242,0.040,0.340,1
decor,6.594,-4.036,1.126,0.707,0.707,-0.000,-0.707,0.707,0.000,0.237,0.164,0.358,0
decor,6.615,-2.278,1.113,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.217,0.155,0.358,0
picture,5.151,-4.742,1.580,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.626,0.026,0.674,1
storage,3.760,-2.529,1.186,0.000,1.000,-0.000,-1.000,0.000,0.000,0.955,0.065,1.199,1
table,6.581,-4.286,0.419,0.000,1.000,0.000,-1.000,0.000,0.000,0.419,0.239,0.409,0
picture,4.313,-1.584,1.472,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.342,0.032,0.530,1
