label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-1.893,2.454,0.416,-1.000,0.000,0.000,0.000,-1.000,0.000,0.358,0.364,0.371,2
sofa,-3.783,1.373,0.444,0.383,0.924,0.000,-0.924,0.383,0.000,0.373,0.412,0.351,2
other,-2.714,2.286,2.407,0.707,-0.707,0.000,0.707,0.707,0.000,0.571,0.571,0.074,-1
sofa,-2.515,1.991,0.536,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.443,0.381,0.262,2
tv,-3.917,3.455,1.253,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.054,0.648,0.430,2
other,-2.704,3.983,2.328,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.054,0.025,0.067,-1
sofa,-2.701,3.227,0.433,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.371,0.356,0.415,2
sofa,-1.844,3.241,0.389,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.377,0.341,0.398,2
sofa,-3.261,2.669,0.406,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.381,0.366,0.396,2
sofa,-2.891,1.482,0.390,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.328,0.409,0.402,2
sofa,-3.754,2.096,0.411,0.707,-0.707,0.000,0.707,0.707,0.000,0.406,0.387,0.391,2
picture,-1.963,1.204,1.371,0.707,0.707,0.000,-0.707,0.707,0.000,0.698,0.015,0.690,1
