label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-15.027,-2.198,0.480,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.347,0.333,0.456,2
table,-14.106,-4.764,0.504,-1.000,0.000,0.000,0.000,-1.000,0.000,1.408,0.258,0.514,0
chair,-14.165,-3.416,0.720,-0.383,0.924,-0.000,-0.924,-0.383,0.000,0.163,0.605,0.222,2
chair,-14.378,-2.181,0.471,0.000,-1.000,0.000,1.000,0.000,-0.000,0.306,0.351,0.465,2
chair,-15.052,-3.504,0.784,0.000,1.000,0.000,-1.000,0.000,0.000,0.128,0.313,0.161,2
picture,-13.209,-0.781,1.648,1.000,0.000,-0.000,0.000,1.000,0.000,0.350,0.056,0.367,1
chair,-13.764,-2.215,0.475,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.314,0.398,0.462,2
storage,-16.101,-4.703,1.216,-1.000,0.000,0.000,0.000,-1.000,0.000,0.542,0.269,1.246,1
decor,-14.826,-4.951,1.449,1.000,0.000,-0.000,0.000,1.000,0.000,0.123,0.035,0.182,0
storage,-16.178,-0.354,1.173,1.000,0.000,-0.000,0.000,1.000,0.000,0.431,0.301,1.189,1
chair,-13.769,-3.525,0.769,0.000,1.000,0.000,-1.000,0.000,0.000,0.101,0.308,0.166,2
chair,-15.681,-2.739,0.462,1.000,0.000,-0.000,0.000,1.000,0.000,0.358,0.309,0.468,2
storage,-11.647,-1.615,1.103,0.000,1.000,0.000,-1.000,0.000,0.000,1.334,0.490,1.109,1
chair,-13.301,-3.248,0.466,0.000,1.000,0.000,-1.000,0.000,0.000,0.334,0.508,0.469,2
storage,-11.932,-4.791,1.090,1.000,0.000,-0.000,0.000,1.000,0.000,0.390,0.189,1.090,1
decor,-13.373,-4.790,1.406,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.168,0.136,0.205,0
chair,-12.538,-2.853,0.510,-1.000,0.000,0.000,0.000,-1.000,0.000,0.377,0.312,0.433,2
picture,-14.128,-4.885,1.474,1.000,0.000,0.000,0.000,1.000,0.000,0.740,0.125,0.589,1
picture,-16.621,-1.020,1.463,0.000,1.000,0.000,-1.000,0.000,0.000,0.246,0.020,0.302,1
chair,-13.340,-2.220,0.504,0.000,-1.000,0.000,1.000,0.000,-0.000,0.326,0.542,0.432,2
table,-14.012,-2.785,0.702,-1.000,0.000,0.000,0.000,-1.000,0.000,1.618,0.581,0.086,0
other,-13.186,-0.536,0.652,-1.000,0.000,0.000,0.000,-1.000,0.000,0.751,0.346,0.655,-1
