label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-10.309,6.710,1.865,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.426,0.039,0.818,1
table,-12.795,2.147,0.898,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.681,0.681,0.048,0
sofa,-15.945,2.471,0.554,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.119,0.938,0.404,2
picture,-7.586,6.542,1.570,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.249,0.006,0.333,1
decor,-10.701,-3.456,0.836,0.000,1.000,-0.000,-1.000,0.000,0.000,0.433,0.243,0.822,0
table,-15.269,6.487,0.674,1.000,0.000,0.000,0.000,1.000,0.000,0.599,0.178,0.165,0
decor,-14.805,-3.505,0.834,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.288,0.184,0.798,0
decor,-9.855,6.615,1.019,1.000,0.000,0.000,0.000,1.000,0.000,0.168,0.102,0.299,0
decor,-14.770,6.442,0.796,0.000,1.000,0.000,-1.000,0.000,0.000,0.092,0.056,0.028,0
sofa,-10.047,2.725,0.499,-1.000,0.000,0.000,0.000,-1.000,0.000,0.537,0.983,0.489,2
sofa,-15.597,2.423,0.491,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.488,0.995,0.490,2
picture,-15.277,6.697,1.845,1.000,0.000,0.000,0.000,1.000,0.000,0.406,0.040,0.812,1
decor,-12.797,2.159,1.874,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.358,0.318,0.462,0
other,-10.216,5.211,3.609,-0.707,0.707,0.000,-0.707,-0.707,0.000,1.391,0.790,0.831,-1
other,-15.062,5.462,3.615,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.465,0.840,0.796,-1
table,-10.352,6.519,0.548,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.620,0.200,0.274,0
decor,-15.666,6.532,0.998,0.000,1.000,0.000,-1.000,0.000,0.000,0.185,0.162,0.148,0
