label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-5.534,-8.343,1.166,0.383,0.924,-0.000,-0.924,0.383,0.000,0.365,0.323,0.397,2
other,-6.536,-4.878,1.690,0.000,1.000,0.000,-1.000,0.000,0.000,2.205,0.726,0.942,-1
table,-1.945,-2.081,1.266,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.444,0.936,0.496,0
chair,-6.012,-7.137,1.144,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.339,0.316,0.376,2
table,-0.992,-5.099,1.156,0.000,1.000,0.000,-1.000,0.000,0.000,0.495,0.294,0.388,0
chair,-4.322,-5.796,1.205,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.524,0.508,0.439,2
decor,-0.858,-5.035,2.952,1.000,0.000,0.000,0.000,1.000,0.000,0.123,0.072,0.125,0
picture,-7.048,-7.700,1.240,0.000,1.000,-0.000,-1.000,0.000,0.000,0.455,0.206,0.479,1
table,-3.760,-4.913,1.003,0.000,1.000,0.000,-1.000,0.000,0.000,0.412,0.256,0.243,0
table,-5.511,-7.675,1.078,0.383,0.924,0.000,-0.924,0.383,0.000,0.348,0.343,0.312,0
table,-6.669,-1.897,1.090,0.383,0.924,0.000,-0.924,0.383,0.000,0.457,0.343,0.330,0
decor,-0.861,-2.699,2.963,1.000,0.000,0.000,0.000,1.000,0.000,0.131,0.050,0.113,0
decor,-0.897,-5.229,1.805,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.129,0.104,0.287,0
sofa,-4.470,-5.312,0.828,0.000,1.000,0.000,-1.000,0.000,0.000,0.077,0.014,0.022,2
storage,-3.403,0.369,1.286,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.169,0.664,0.520,1
storage,-3.261,-0.906,1.798,-1.000,0.000,0.000,0.000,-1.000,0.000,0.242,0.724,1.034,1
decor,-6.834,-8.609,1.107,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.269,0.199,0.355,0
chair,-1.954,-2.648,1.283,0.000,1.000,-0.000,-1.000,0.000,0.000,0.351,0.343,0.513,2
storage,-5.987,0.668,1.552,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.380,1.279,0.634,1
sofa,-5.844,0.402,1.202,1.000,0.000,0.000,0.000,1.000,0.000,1.428,0.640,0.450,2
chair,-4.236,-3.873,1.200,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.483,0.494,0.439,2
