label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-16.624,6.706,0.322,1.000,0.000,0.000,0.000,1.000,0.000,0.277,0.224,0.196,2
chair,-11.442,7.998,0.475,1.000,0.000,0.000,0.000,1.000,0.000,0.380,0.233,0.426,2
chair,-15.160,7.034,0.356,1.000,0.000,0.000,0.000,1.000,0.000,0.245,0.228,0.143,2
chair,-16.028,6.720,0.340,1.000,0.000,0.000,0.000,1.000,0.000,0.265,0.223,0.158,2
other,-10.508,5.393,0.598,1.000,0.000,0.000,0.000,1.000,0.000,1.634,0.391,0.582,-1
chair,-17.354,6.719,0.279,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.279,0.248,0.217,2
chair,-12.210,7.972,0.464,0.000,1.000,-0.000,-1.000,0.000,0.000,0.344,0.273,0.436,2
other,-12.516,7.170,-0.353,1.000,0.000,0.000,0.000,1.000,0.000,0.619,0.109,0.034,-1
other,-15.755,6.061,-0.351,1.000,0.000,0.000,0.000,1.000,0.000,0.594,0.096,0.016,-1
chair,-10.879,8.064,0.481,1.000,0.000,0.000,0.000,1.000,0.000,0.255,0.217,0.419,2
sofa,-16.610,5.329,0.320,0.000,1.000,0.000,-1.000,0.000,0.000,0.330,0.756,0.148,2
other,-15.731,8.241,-0.337,1.000,0.000,0.000,0.000,1.000,0.000,0.621,0.109,0.037,-1
table,-16.663,7.313,0.394,1.000,0.000,0.000,0.000,1.000,0.000,1.500,0.857,0.386,0
chair,-10.251,8.061,0.445,1.000,0.000,0.000,0.000,1.000,0.000,0.264,0.219,0.383,2
