label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-0.091,-2.514,0.496,-1.000,0.000,0.000,0.000,-1.000,0.000,0.309,0.318,0.483,2
other,-0.518,-5.089,2.364,0.000,1.000,0.000,-1.000,0.000,0.000,0.215,0.215,0.176,-1
chair,-0.599,-3.155,0.514,0.924,0.383,-0.000,-0.383,0.924,0.000,0.601,0.344,0.480,2
chair,-0.080,-4.102,0.496,-1.000,0.000,0.000,0.000,-1.000,0.000,0.288,0.521,0.477,2
chair,-1.537,-7.392,0.511,0.000,1.000,-0.000,-1.000,0.000,0.000,0.368,0.290,0.498,2
chair,-0.024,-4.909,0.488,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.255,0.372,0.488,2
table,-0.450,-3.727,0.381,0.000,1.000,0.000,-1.000,0.000,0.000,2.160,0.597,0.381,0
storage,-1.070,-5.678,1.633,-0.924,0.383,0.000,-0.383,-0.924,0.000,2.466,1.324,1.614,1
storage,0.157,0.575,0.607,1.000,0.000,0.000,0.000,1.000,0.000,0.693,0.413,0.596,1
chair,-0.434,-1.689,0.487,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.348,0.317,0.486,2
storage,1.772,-5.349,0.587,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.276,0.484,0.454,1
chair,-0.834,-4.211,0.498,1.000,0.000,0.000,0.000,1.000,0.000,0.317,0.307,0.481,2
chair,-0.899,-2.455,0.510,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.234,0.385,0.482,2
other,-0.500,-2.195,2.356,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.222,0.212,0.146,-1
picture,1.019,-5.690,-0.978,0.000,1.000,0.000,-1.000,0.000,0.000,0.429,0.027,0.325,1
picture,-0.712,-3.193,-0.965,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.369,0.024,0.266,1
other,-2.685,-0.629,0.921,0.000,1.000,0.000,-1.000,0.000,0.000,0.444,0.393,0.290,-1
other,-2.683,-1.426,0.913,0.000,1.000,0.000,-1.000,0.000,0.000,2.609,0.408,0.059,-1
storage,-2.635,-5.828,1.995,0.000,1.000,-0.000,-1.000,0.000,0.000,0.781,0.446,1.238,1
other,-0.507,-3.632,2.367,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.236,0.233,0.161,-1
chair,0.702,-7.384,0.502,0.000,1.000,0.000,-1.000,0.000,0.000,0.359,0.419,0.489,2
storage,-0.235,-5.607,0.778,-1.000,0.000,0.000,0.000,-1.000,0.000,0.960,2.142,0.780,1
storage,-2.866,-3.061,2.122,0.000,1.000,0.000,-1.000,0.000,0.000,0.983,0.230,0.880,1
storage,-2.637,-7.105,1.625,0.000,1.000,-0.000,-1.000,0.000,0.000,0.655,0.442,1.611,1
picture,2.297,-4.490,-0.767,0.000,1.000,0.000,-1.000,0.000,0.000,0.245,0.017,0.239,1
decor,1.553,0.647,0.721,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.242,0.166,0.668,0
chair,-0.470,-5.671,0.484,0.000,1.000,-0.000,-1.000,0.000,0.000,0.334,0.302,0.478,2
chair,-0.069,-3.367,0.509,-1.000,0.000,0.000,0.000,-1.000,0.000,0.295,0.391,0.477,2
chair,-0.916,-5.016,0.490,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.222,0.383,0.477,2
decor,-0.449,-3.666,0.862,0.924,0.383,-0.000,-0.383,0.924,0.000,0.120,0.120,0.126,0
storage,-0.867,0.617,0.592,1.000,0.000,0.000,0.000,1.000,0.000,0.500,0.488,0.578,1
