label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,7.163,4.961,1.792,0.000,1.000,0.000,-1.000,0.000,0.000,0.147,0.009,0.144,1
storage,7.093,6.830,0.513,1.000,0.000,0.000,0.000,1.000,0.000,0.772,0.267,0.398,1
chair,4.083,4.272,0.465,0.000,1.000,0.000,-1.000,0.000,0.000,0.232,0.274,0.376,2
chair,7.401,5.713,0.460,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.289,0.239,0.381,2
storage,6.761,1.522,0.911,1.000,0.000,0.000,0.000,1.000,0.000,0.498,0.086,0.910,1
tv,7.605,5.399,1.137,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.095,0.259,0.211,2
other,6.632,4.305,0.790,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.210,0.198,0.109,-1
storage,7.105,6.923,1.662,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.184,0.763,0.318,1
decor,4.768,5.356,1.783,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.359,0.205,0.197,0
chair,7.077,4.262,0.601,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.086,0.282,0.296,2
table,4.419,4.952,0.478,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.761,0.478,0
chair,4.441,4.243,0.429,0.000,1.000,-0.000,-1.000,0.000,0.000,0.230,0.352,0.422,2
picture,7.142,4.971,1.439,0.000,1.000,-0.000,-1.000,0.000,0.000,0.138,0.015,0.181,1
picture,4.148,3.197,1.637,1.000,0.000,0.000,0.000,1.000,0.000,0.455,0.053,0.588,1
chair,4.561,4.235,0.471,0.000,1.000,0.000,-1.000,0.000,0.000,0.243,0.644,0.383,2
chair,7.100,3.539,0.630,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.093,0.240,0.243,2
chair,6.777,5.042,0.593,0.924,0.383,-0.000,-0.383,0.924,0.000,0.323,0.286,0.244,2
storage,4.761,2.472,1.418,0.000,1.000,-0.000,-1.000,0.000,0.000,0.678,0.175,1.096,1
