label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,2.236,-11.359,0.445,1.000,0.000,0.000,0.000,1.000,0.000,0.535,0.521,0.388,0
other,0.286,-12.563,0.678,0.383,0.924,-0.000,-0.924,0.383,0.000,0.355,0.216,0.582,-1
chair,1.747,-11.783,0.518,0.707,0.707,-0.000,-0.707,0.707,0.000,0.367,0.354,0.460,2
chair,2.445,-11.666,0.511,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.659,0.348,0.455,2
other,0.467,-12.337,0.676,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.195,0.054,0.274,-1
chair,2.694,-10.982,0.509,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.367,0.390,0.453,2
sofa,5.167,-12.716,0.481,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.851,1.904,0.433,2
table,4.362,-10.731,0.443,0.383,0.924,-0.000,-0.924,0.383,0.000,0.348,0.289,0.392,0
table,1.829,-13.053,0.829,0.383,0.924,-0.000,-0.924,0.383,0.000,0.456,1.586,0.772,0
chair,1.827,-10.976,0.513,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.474,0.329,0.454,2
decor,2.067,-13.101,1.724,1.000,0.000,0.000,0.000,1.000,0.000,0.484,0.236,0.761,0
picture,5.983,-13.004,1.754,0.383,0.924,0.000,-0.924,0.383,0.000,1.892,0.234,1.083,1
tv,2.773,-13.458,1.280,0.383,0.924,-0.000,-0.924,0.383,0.000,0.078,0.513,0.330,2
other,5.228,-14.623,1.652,0.383,0.924,-0.000,-0.924,0.383,0.000,0.116,0.113,0.585,-1
other,6.438,-11.380,1.616,1.000,0.000,0.000,0.000,1.000,0.000,0.163,0.132,0.591,-1
