label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-0.159,0.315,0.991,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.112,0.104,0.192,0
picture,-0.326,1.932,1.767,0.000,1.000,-0.000,-1.000,0.000,0.000,0.334,0.027,0.492,1
table,1.437,0.682,0.281,0.000,1.000,0.000,-1.000,0.000,0.000,0.412,0.257,0.181,0
decor,2.682,2.080,1.112,0.000,1.000,-0.000,-1.000,0.000,0.000,0.240,0.226,0.455,0
picture,-0.332,-0.455,1.763,0.000,1.000,-0.000,-1.000,0.000,0.000,0.335,0.028,0.488,1
sofa,2.129,0.156,0.504,-1.000,0.000,0.000,0.000,-1.000,0.000,0.919,1.279,0.507,2
picture,-0.322,0.761,2.165,0.000,1.000,-0.000,-1.000,0.000,0.000,0.325,0.030,0.346,1
decor,-0.186,0.173,0.964,1.000,0.000,0.000,0.000,1.000,0.000,0.111,0.090,0.173,0
sofa,1.877,2.352,0.460,-0.383,-0.924,-0.000,0.924,-0.383,0.000,0.472,0.422,0.465,2
table,-0.108,0.761,0.553,0.000,1.000,0.000,-1.000,0.000,0.000,0.924,0.243,0.392,0
