label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-5.613,-9.020,0.577,0.000,1.000,0.000,-1.000,0.000,0.000,0.196,0.187,0.194,2
other,-5.167,-9.790,-0.456,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.119,0.092,0.092,-1
chair,-5.799,-9.687,0.586,0.000,1.000,-0.000,-1.000,0.000,0.000,0.392,0.320,0.552,2
other,-5.757,-15.815,-0.458,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.113,0.065,0.084,-1
chair,-5.569,-10.786,0.429,1.000,0.000,0.000,0.000,1.000,0.000,0.279,0.237,0.357,2
other,-5.023,-12.755,-0.454,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.122,0.052,0.082,-1
table,-5.578,-9.896,0.629,0.000,1.000,0.000,-1.000,0.000,0.000,0.810,0.392,0.614,0
chair,-5.289,-10.213,0.652,0.000,1.000,-0.000,-1.000,0.000,0.000,0.291,0.265,0.516,2
chair,-5.291,-9.629,0.625,0.000,1.000,-0.000,-1.000,0.000,0.000,0.319,0.264,0.496,2
chair,-5.782,-10.178,0.641,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.312,0.361,0.501,2
