label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-1.287,12.175,-0.284,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.383,0.303,0.313,-1
picture,-2.079,12.875,1.009,-1.000,0.000,0.000,0.000,-1.000,0.000,0.268,0.060,0.237,1
storage,-1.869,12.590,0.567,0.000,-1.000,0.000,1.000,0.000,-0.000,0.067,0.329,0.055,1
other,-1.336,12.505,0.345,-1.000,0.000,0.000,0.000,-1.000,0.000,0.121,0.054,0.220,-1
other,-1.728,12.015,1.623,0.000,1.000,0.000,-1.000,0.000,0.000,0.169,0.169,0.015,-1
other,-2.309,12.494,-0.439,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.184,0.123,0.169,-1
storage,-2.076,12.552,0.493,0.000,-1.000,0.000,1.000,0.000,-0.000,0.116,0.419,0.074,1
other,-2.182,11.488,-0.045,1.000,0.000,-0.000,0.000,1.000,0.000,0.114,0.070,0.255,-1
picture,-2.078,12.642,0.995,-1.000,0.000,0.000,0.000,-1.000,0.000,0.349,0.030,0.448,1
other,-2.906,12.756,1.613,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.107,0.082,0.015,-1
other,-1.521,12.557,-0.142,-1.000,0.000,0.000,0.000,-1.000,0.000,0.022,0.017,0.095,-1
other,-2.093,12.395,0.029,1.000,0.000,0.000,0.000,1.000,0.000,0.290,0.256,0.223,-1
other,-1.352,12.507,0.396,-1.000,0.000,0.000,0.000,-1.000,0.000,0.140,0.043,0.212,-1
