label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,4.588,-11.419,4.437,0.000,1.000,0.000,-1.000,0.000,0.000,0.115,0.082,0.093,1
picture,2.654,-12.806,4.390,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.138,0.091,0.159,1
sofa,1.464,-9.834,3.904,1.000,0.000,0.000,0.000,1.000,0.000,0.457,0.434,0.410,2
picture,4.504,-10.517,4.492,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.176,0.086,0.147,1
storage,4.476,-11.077,4.044,0.000,1.000,0.000,-1.000,0.000,0.000,0.808,0.246,0.590,1
picture,2.950,-12.849,4.338,0.924,0.383,0.000,-0.383,0.924,0.000,0.121,0.077,0.113,1
table,1.415,-10.547,3.955,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.250,0.232,0.059,0
decor,1.399,-10.567,4.141,0.000,1.000,-0.000,-1.000,0.000,0.000,0.132,0.046,0.138,0
bed,1.561,-11.870,4.053,0.000,1.000,0.000,-1.000,0.000,0.000,1.119,0.631,0.567,2
decor,2.325,-12.827,4.601,1.000,0.000,0.000,0.000,1.000,0.000,0.218,0.164,0.361,0
decor,4.420,-12.753,4.169,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.285,0.238,0.427,0
chair,2.792,-12.491,3.731,1.000,0.000,0.000,0.000,1.000,0.000,0.285,0.245,0.255,2
decor,4.592,-11.745,4.714,0.000,1.000,-0.000,-1.000,0.000,0.000,0.233,0.131,0.374,0
other,1.237,-11.648,2.870,1.000,0.000,0.000,0.000,1.000,0.000,0.207,0.176,0.088,-1
picture,4.704,-11.106,5.090,0.000,1.000,-0.000,-1.000,0.000,0.000,0.732,0.049,0.747,1
picture,4.423,-11.615,4.467,0.383,0.924,0.000,-0.924,0.383,0.000,0.125,0.097,0.123,1
table,2.720,-12.673,3.974,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.693,0.382,0.504,0
