label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,5.340,1.391,1.428,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.236,0.040,0.622,1
table,0.081,-1.684,0.735,1.000,0.000,0.000,0.000,1.000,0.000,0.291,0.255,0.328,0
chair,3.428,-1.474,0.748,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.427,0.313,0.481,2
picture,4.662,-0.203,1.276,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.574,0.027,0.981,1
sofa,0.883,1.092,0.502,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.271,1.053,0.251,2
picture,1.039,1.254,1.917,1.000,0.000,0.000,0.000,1.000,0.000,0.525,0.099,0.341,1
storage,6.353,0.255,1.364,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.351,0.521,1.101,1
storage,5.160,0.893,1.545,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.424,1.256,1.296,1
table,2.246,-1.699,0.536,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.502,0.283,0.354,0
picture,3.967,-1.164,1.794,0.000,1.000,0.000,-1.000,0.000,0.000,0.727,0.041,0.495,1
bed,1.301,-0.794,1.006,0.000,1.000,0.000,-1.000,0.000,0.000,1.178,1.089,0.750,2
