label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,8.611,-6.145,1.552,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.537,0.021,0.548,-1
table,7.566,-5.557,0.384,0.000,1.000,0.000,-1.000,0.000,0.000,0.587,0.403,0.372,0
bed,9.698,-3.694,0.267,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.254,0.686,0.199,2
decor,7.484,-2.083,1.112,0.707,0.707,-0.000,-0.707,0.707,0.000,0.304,0.222,0.431,0
chair,11.523,-5.405,0.364,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.379,0.438,0.367,2
bed,8.353,-3.745,0.474,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.012,1.036,0.211,2
table,7.502,-2.045,0.383,0.000,1.000,0.000,-1.000,0.000,0.000,0.608,0.339,0.362,0
storage,11.561,-1.988,0.491,0.000,1.000,0.000,-1.000,0.000,0.000,0.810,0.338,0.490,1
picture,7.210,-3.548,1.949,0.000,1.000,0.000,-1.000,0.000,0.000,0.320,0.066,0.317,1
tv,11.601,-2.025,1.181,-1.000,0.000,0.000,0.000,-1.000,0.000,0.072,0.483,0.303,2
decor,7.501,-5.499,1.095,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.242,0.205,0.445,0
decor,11.044,-5.771,0.733,0.707,0.707,-0.000,-0.707,0.707,0.000,0.245,0.191,0.680,0
