label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,10.858,1.248,1.455,0.000,1.000,0.000,-1.000,0.000,0.000,0.432,0.030,0.219,1
storage,11.153,2.249,0.901,-1.000,0.000,0.000,0.000,-1.000,0.000,0.199,0.352,0.905,1
chair,8.866,3.498,0.602,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.332,0.297,0.294,2
table,9.477,4.299,0.639,0.000,1.000,0.000,-1.000,0.000,0.000,1.338,0.516,0.111,0
picture,11.307,2.241,1.890,0.000,1.000,0.000,-1.000,0.000,0.000,0.331,0.058,0.317,1
chair,10.057,4.997,0.586,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.351,0.310,0.293,2
picture,7.840,4.313,1.415,0.000,1.000,-0.000,-1.000,0.000,0.000,0.763,0.076,1.223,1
storage,11.014,6.220,0.732,0.000,1.000,-0.000,-1.000,0.000,0.000,0.444,0.307,0.757,1
chair,8.841,4.246,0.601,1.000,0.000,0.000,0.000,1.000,0.000,0.351,0.254,0.292,2
picture,11.307,6.219,1.854,0.000,1.000,-0.000,-1.000,0.000,0.000,0.324,0.042,0.468,1
chair,10.130,4.249,0.586,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.331,0.285,0.301,2
chair,10.047,3.473,0.605,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.321,0.275,0.283,2
chair,8.933,5.118,0.583,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.355,0.304,0.290,2
sofa,10.586,1.229,0.377,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.276,0.629,0.372,2
chair,9.461,2.763,0.469,0.000,1.000,0.000,-1.000,0.000,0.000,0.358,0.368,0.459,2
chair,9.545,5.822,0.454,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.350,0.358,0.455,2
