label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,12.847,-3.692,1.493,1.000,0.000,0.000,0.000,1.000,0.000,0.611,0.030,0.641,-1
chair,12.966,-1.821,0.515,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.156,0.273,0.522,2
chair,12.391,-2.569,0.519,0.000,1.000,-0.000,-1.000,0.000,0.000,0.307,0.264,0.524,2
table,13.208,-1.837,3.042,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.328,0.248,0.313,0
chair,12.390,-1.952,0.517,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.264,0.403,0.524,2
chair,13.389,-2.529,0.508,0.000,1.000,0.000,-1.000,0.000,0.000,0.337,0.442,0.527,2
bed,14.221,-2.535,3.345,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.231,1.039,0.620,2
chair,13.459,-1.967,0.513,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.295,0.373,0.522,2
decor,15.489,-3.586,0.616,1.000,0.000,0.000,0.000,1.000,0.000,0.240,0.173,0.626,0
chair,12.987,-2.765,0.521,0.000,1.000,0.000,-1.000,0.000,0.000,0.102,0.344,0.522,2
decor,12.958,-2.235,0.926,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.239,0.158,0.191,0
table,15.390,-1.723,3.041,0.000,1.000,0.000,-1.000,0.000,0.000,0.413,0.407,0.314,0
storage,15.595,-1.260,1.669,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.273,0.101,0.805,1
table,12.955,-2.262,0.370,1.000,0.000,0.000,0.000,1.000,0.000,0.911,0.513,0.389,0
