label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-6.757,-0.592,0.735,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.396,0.343,0.456,2
storage,-3.710,0.373,0.627,1.000,0.000,0.000,0.000,1.000,0.000,0.153,0.122,0.280,1
other,-1.455,1.865,0.279,1.000,0.000,0.000,0.000,1.000,0.000,0.350,0.027,0.141,-1
chair,-5.516,0.685,-2.644,0.000,1.000,0.000,-1.000,0.000,0.000,0.294,0.328,0.559,2
chair,-6.241,0.708,-2.646,0.000,1.000,-0.000,-1.000,0.000,0.000,0.383,0.318,0.556,2
table,-5.352,2.797,0.583,0.707,0.707,-0.000,-0.707,0.707,0.000,0.242,0.216,0.436,0
chair,-7.040,3.682,0.688,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.139,0.232,0.474,2
decor,-5.112,-0.796,-1.830,1.000,0.000,0.000,0.000,1.000,0.000,0.134,0.107,0.389,0
picture,-2.723,3.761,-1.227,1.000,0.000,0.000,0.000,1.000,0.000,0.096,0.038,0.042,1
other,-3.058,2.009,0.811,0.924,0.383,-0.000,-0.383,0.924,0.000,0.368,0.112,0.433,-1
other,-3.054,0.971,0.556,0.000,1.000,-0.000,-1.000,0.000,0.000,0.368,0.291,0.406,-1
storage,-4.500,-0.739,-2.514,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.866,0.308,0.691,1
table,-7.837,3.170,-2.795,0.000,1.000,0.000,-1.000,0.000,0.000,0.422,0.358,0.415,0
decor,-3.819,-0.903,-1.838,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.198,0.120,0.366,0
storage,-5.200,-0.794,0.677,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.391,0.253,0.472,1
decor,-8.103,3.061,-1.321,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.081,0.277,0
other,-3.263,0.244,0.667,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.382,0.251,0.509,-1
picture,-3.536,3.518,-1.428,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.622,0.051,0.805,1
storage,-8.065,-0.858,-2.278,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.387,0.198,0.910,1
other,-2.623,0.879,0.296,0.000,1.000,0.000,-1.000,0.000,0.000,0.225,0.173,0.142,-1
chair,-3.215,0.795,-2.667,0.707,0.707,0.000,-0.707,0.707,0.000,0.576,0.313,0.564,2
chair,-4.105,0.735,-2.652,0.000,1.000,0.000,-1.000,0.000,0.000,0.320,0.331,0.553,2
chair,-4.105,2.060,-2.640,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.318,0.352,0.517,2
chair,-3.545,2.103,-2.677,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.307,0.368,0.546,2
picture,-1.464,1.155,-1.713,0.000,1.000,-0.000,-1.000,0.000,0.000,0.500,0.028,0.677,1
chair,-2.938,1.370,-2.686,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.476,0.301,0.542,2
other,-6.089,1.231,-1.108,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.307,0.286,0.217,-1
table,-7.060,3.451,0.697,1.000,0.000,0.000,0.000,1.000,0.000,0.564,0.278,0.441,0
chair,-6.691,1.244,-2.652,0.924,0.383,-0.000,-0.383,0.924,0.000,0.373,0.463,0.551,2
chair,-5.709,2.060,-2.666,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.315,0.444,0.539,2
picture,-4.496,-0.986,-1.369,1.000,0.000,0.000,0.000,1.000,0.000,0.636,0.058,0.761,1
table,-7.675,2.851,0.696,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.294,0.219,0.512,0
decor,-7.629,-0.516,0.877,1.000,0.000,0.000,0.000,1.000,0.000,0.538,0.538,0.666,0
chair,-4.879,2.082,-2.648,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.315,0.318,0.524,2
chair,-4.815,0.688,-2.642,0.000,1.000,0.000,-1.000,0.000,0.000,0.291,0.313,0.546,2
bed,-6.486,1.943,0.587,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.135,0.901,0.439,2
chair,-6.239,1.921,-2.839,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.354,0.318,0.367,2
chair,-7.795,0.252,0.728,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.365,0.376,0.468,2
table,-4.881,1.351,-2.807,1.000,0.000,0.000,0.000,1.000,0.000,2.080,0.715,0.426,0
decor,-4.757,1.339,-2.322,1.000,0.000,0.000,0.000,1.000,0.000,0.527,0.161,0.129,0
decor,-7.570,-0.934,-1.087,1.000,0.000,0.000,0.000,1.000,0.000,0.437,0.098,0.456,0
