label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.762,-2.819,0.898,0.000,1.000,0.000,-1.000,0.000,0.000,1.041,0.617,0.917,-1
sofa,-0.223,-3.010,0.421,-1.000,0.000,0.000,0.000,-1.000,0.000,0.517,1.125,0.431,2
tv,-3.056,-4.607,1.557,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.236,0.637,0.421,2
decor,-2.654,-3.651,1.889,0.000,1.000,-0.000,-1.000,0.000,0.000,0.077,0.074,0.211,0
decor,-2.647,-2.072,1.890,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.074,0.064,0.208,0
storage,-1.356,-5.143,3.891,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.284,0.423,0.489,1
decor,-2.678,-2.856,1.911,0.000,1.000,-0.000,-1.000,0.000,0.000,0.189,0.135,0.269,0
picture,-0.967,-0.270,1.616,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.296,0.015,0.429,1
sofa,-1.345,-4.910,0.406,0.000,1.000,0.000,-1.000,0.000,0.000,0.543,0.875,0.420,2
table,-1.565,-0.519,0.408,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.018,0.272,0.430,0
storage,-0.028,-2.178,4.014,1.000,0.000,0.000,0.000,1.000,0.000,0.252,0.072,0.588,1
picture,-3.493,-1.849,1.718,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.276,0.018,0.437,1
picture,-2.198,-0.266,1.615,1.000,0.000,0.000,0.000,1.000,0.000,0.301,0.016,0.402,1
