label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-18.448,1.293,-2.850,0.707,0.707,-0.000,-0.707,0.707,0.000,0.185,0.170,0.209,0
bed,-20.931,2.720,0.619,1.000,0.000,0.000,0.000,1.000,0.000,1.129,0.933,0.605,2
picture,-17.051,0.682,-1.614,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.553,0.029,0.448,1
table,-15.730,1.197,-2.794,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.253,0.225,0.258,0
decor,-19.887,2.381,-1.813,0.000,1.000,-0.000,-1.000,0.000,0.000,0.094,0.065,0.118,0
sofa,-17.107,1.249,-2.644,0.000,1.000,0.000,-1.000,0.000,0.000,0.575,1.128,0.438,2
table,-21.810,1.601,0.440,0.000,1.000,-0.000,-1.000,0.000,0.000,0.327,0.234,0.426,0
table,-17.052,2.555,-2.772,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.657,0.363,0.281,0
sofa,-18.296,4.113,0.430,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.535,0.537,0.420,2
sofa,-18.756,2.239,-2.718,0.924,0.383,0.000,-0.383,0.924,0.000,0.463,0.448,0.334,2
sofa,-15.476,2.653,-2.684,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.439,0.422,0.389,2
storage,-19.830,2.187,-2.423,0.000,1.000,-0.000,-1.000,0.000,0.000,0.471,0.261,0.655,1
picture,-14.648,2.130,-1.662,0.000,1.000,-0.000,-1.000,0.000,0.000,0.463,0.035,0.496,1
picture,-21.823,2.498,-2.745,0.383,0.924,0.000,-0.924,0.383,0.000,0.670,0.179,0.330,1
decor,-19.915,1.906,-1.756,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.164,0.046,0.141,0
picture,-20.009,2.154,-1.450,0.000,1.000,-0.000,-1.000,0.000,0.000,0.357,0.097,0.415,1
table,-17.121,4.369,-2.685,1.000,0.000,0.000,0.000,1.000,0.000,0.694,0.381,0.334,0
