label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,4.117,12.046,1.523,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.513,0.042,0.449,1
other,7.409,7.974,0.866,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.995,0.291,0.855,-1
table,4.350,8.739,3.843,0.000,1.000,0.000,-1.000,0.000,0.000,0.493,0.231,0.427,0
storage,4.887,7.323,1.501,0.000,1.000,0.000,-1.000,0.000,0.000,0.246,1.861,1.503,1
picture,7.227,8.088,2.070,0.707,0.707,0.000,-0.707,0.707,0.000,0.566,0.067,0.439,1
table,4.327,10.628,3.889,0.000,1.000,-0.000,-1.000,0.000,0.000,0.426,0.252,0.440,0
other,7.634,9.007,3.870,0.000,1.000,0.000,-1.000,0.000,0.000,0.483,0.290,0.382,-1
decor,7.407,11.712,1.046,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.354,0.301,1.047,0
other,4.915,9.781,3.938,0.000,1.000,0.000,-1.000,0.000,0.000,1.686,0.298,0.484,-1
other,7.139,10.731,3.821,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.850,0.547,0.345,-1
