label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-12.762,-2.900,-0.292,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.134,0.096,0.005,-1
chair,-14.305,-3.367,0.544,0.000,1.000,-0.000,-1.000,0.000,0.000,0.171,0.331,0.510,2
other,-14.444,-2.865,-0.295,1.000,0.000,0.000,0.000,1.000,0.000,0.090,0.074,0.002,-1
other,-10.714,-2.890,-0.281,1.000,0.000,0.000,0.000,1.000,0.000,0.102,0.062,0.008,-1
chair,-10.542,-2.605,0.541,-1.000,0.000,0.000,0.000,-1.000,0.000,0.258,0.394,0.528,2
storage,-11.497,-2.556,0.484,0.000,1.000,0.000,-1.000,0.000,0.000,1.033,0.336,0.465,1
chair,-13.230,-2.869,0.545,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.320,0.367,0.509,2
chair,-13.782,-3.331,0.544,0.000,1.000,0.000,-1.000,0.000,0.000,0.202,0.309,0.511,2
chair,-13.028,-2.358,0.538,-1.000,0.000,0.000,0.000,-1.000,0.000,0.108,0.315,0.518,2
chair,-13.040,-1.851,0.536,-1.000,0.000,0.000,0.000,-1.000,0.000,0.142,0.284,0.523,2
chair,-14.828,-3.247,0.542,0.000,1.000,-0.000,-1.000,0.000,0.000,0.291,0.282,0.514,2
chair,-10.452,-1.986,0.550,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.350,0.337,0.524,2
chair,-10.665,-3.231,0.537,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.306,0.284,0.523,2
