label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-2.071,-1.259,1.240,0.000,1.000,0.000,-1.000,0.000,0.000,1.524,0.621,0.253,0
decor,-4.935,-1.827,0.979,0.707,0.707,0.000,-0.707,0.707,0.000,0.598,0.262,0.367,0
chair,-2.364,-1.235,1.062,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.352,0.361,0.437,2
sofa,-4.372,2.714,1.051,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.840,0.540,0.429,2
decor,-4.033,3.783,1.086,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.377,0.187,0.448,0
chair,-1.695,-1.250,1.059,0.000,1.000,-0.000,-1.000,0.000,0.000,0.356,0.324,0.438,2
other,-2.445,2.857,0.193,0.000,1.000,0.000,-1.000,0.000,0.000,0.135,0.128,0.087,-1
chair,-2.301,-0.463,1.053,1.000,0.000,0.000,0.000,1.000,0.000,0.534,0.477,0.442,2
storage,-2.814,3.828,1.468,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.660,0.388,0.830,1
chair,-2.558,-2.139,1.068,0.383,0.924,-0.000,-0.924,0.383,0.000,0.374,0.227,0.438,2
other,-2.994,-0.733,0.186,0.707,0.707,0.000,-0.707,0.707,0.000,0.146,0.139,0.094,-1
decor,0.361,1.629,1.943,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.408,0.397,0.344,0
other,-0.342,3.755,1.508,1.000,0.000,0.000,0.000,1.000,0.000,0.493,0.244,0.102,-1
decor,-4.871,1.290,1.159,0.000,1.000,0.000,-1.000,0.000,0.000,0.600,0.474,0.530,0
decor,-1.642,1.616,1.838,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.188,0.187,0.255,0
storage,-0.938,3.822,1.457,1.000,0.000,0.000,0.000,1.000,0.000,2.458,0.396,0.828,1
chair,-1.665,-2.186,1.050,0.000,1.000,-0.000,-1.000,0.000,0.000,0.333,0.300,0.442,2
other,0.010,-0.694,0.202,0.000,1.000,0.000,-1.000,0.000,0.000,0.146,0.067,0.084,-1
picture,-2.386,-2.771,2.888,1.000,0.000,0.000,0.000,1.000,0.000,0.983,0.033,0.960,1
other,-0.506,3.847,1.579,1.000,0.000,0.000,0.000,1.000,0.000,1.347,0.370,0.156,-1
other,1.808,4.018,1.032,0.383,0.924,-0.000,-0.924,0.383,0.000,0.277,0.192,0.407,-1
decor,0.448,-0.910,1.683,1.000,0.000,0.000,0.000,1.000,0.000,0.318,0.296,1.068,0
other,1.474,0.362,0.202,0.000,1.000,0.000,-1.000,0.000,0.000,0.183,0.070,0.088,-1
chair,-1.800,-0.309,1.056,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.363,0.439,0.437,2
decor,-2.044,-2.422,1.628,0.707,0.707,-0.000,-0.707,0.707,0.000,0.208,0.200,0.244,0
